Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,6.22246,-7.07352,657.247,-0,-0,-0,2405.15,-2669.26,-8662.08
1,1,6.26771,-7.95588,653.418,-0,-0,-0,2405.15,-2669.34,-8664.37
1,2,6.24509,-8.38576,651.939,-0,-0,-0,2405.52,-2671.54,-8666.82
1,3,6.47133,-8.77038,652.026,-0,-0,-0,2401.83,-2671.74,-8666.43
1,4,6.53921,-8.74775,648.458,-0,-0,-0,2405.36,-2669.92,-8661.92
2,0,6.94645,-9.2455,648.371,-0,-0,-0,2405.98,-2669.46,-8666.11
2,1,7.51208,-9.04188,644.456,-0,-0,-0,2406.23,-2671.04,-8667.54
2,2,8.75644,-9.517,642.193,-0,-0,-0,2405.69,-2669.96,-8663.82
2,3,8.48494,-9.65275,638.799,-0,-0,-0,2406.02,-2669.46,-8662.08
2,4,8.00982,-9.63012,639.234,-0,-0,-0,2405.36,-2670.21,-8658.68
3,0,9.43519,-9.49437,633.056,-0,-0,-0,2407.93,-2669.05,-8661.21
3,1,9.27681,-10.2862,633.491,-0,-0,-0,2404.2,-2670.33,-8672.44
3,2,10.1592,-9.76587,632.708,-0,-0,-0,2405.56,-2668.39,-8661.29
3,3,9.52568,-9.94687,630.446,-0,-0,-0,2404.61,-2669.96,-8661.37
3,4,9.59356,-10.4672,623.31,-0,-0,-0,2404.94,-2668.76,-8661.76
4,0,10.7248,-10.6935,625.05,-0,-0,-0,2404.82,-2669.67,-8653.62
4,1,10.4759,-10.9424,625.921,-0,-0,-0,2405.19,-2669.34,-8661.92
4,2,10.8832,-10.5577,619.916,-0,-0,-0,2405.07,-2672.24,-8657.42
4,3,11.0189,-11.4401,615.565,-0,-0,-0,2406.31,-2668.51,-8660.5
4,4,11.5167,-10.4672,615.13,-0,-0,-0,2405.23,-2669.8,-8662.24
5,0,11.7429,-11.7795,614.434,-0,-0,-0,2405.9,-2669.88,-8661.61
5,1,11.856,-10.6482,610.083,-0,-0,-0,2407.14,-2665.4,-8670.62
5,2,12.5122,-11.4401,605.471,-0,-0,-0,2407.76,-2669.84,-8664.61
5,3,12.6027,-11.9379,605.471,-0,-0,-0,2406.19,-2669.71,-8666.35
5,4,13.5982,-11.8926,602.861,-0,-0,-0,2405.61,-2670.09,-8663.9
6,0,13.2814,-12.1189,600.337,-0,-0,-0,2406.73,-2670.21,-8664.93
6,1,13.847,-11.9831,597.291,-0,-0,-0,2406.97,-2671.12,-8658.44
6,2,14.5936,-12.5035,597.378,-0,-0,-0,2405.73,-2670,-8661.29
6,3,14.0054,-12.7071,591.722,-0,-0,-0,2406.44,-2669.17,-8665.16
6,4,14.2316,-12.5261,592.854,-0,-0,-0,2405.52,-2671.29,-8665.88
7,0,14.5936,-11.7342,589.025,-0,-0,-0,2404.98,-2669.34,-8664.77
7,1,14.752,-12.6166,586.414,-0,-0,-0,2404.94,-2669.26,-8662.63
7,2,15.0461,-12.6392,584.5,-0,-0,-0,2404.82,-2666.6,-8665.48
7,3,15.5213,-13.0465,585.805,-0,-0,-0,2403.82,-2667.97,-8663.74
7,4,16.0869,-12.9786,584.326,-0,-0,-0,2404.9,-2669.88,-8662.16
8,0,15.9059,-13.6347,580.149,-0,-0,-0,2405.23,-2669.8,-8661.53
8,1,16.6978,-13.7705,581.019,-0,-0,-0,2405.32,-2671.33,-8660.97
8,2,16.6978,-14.223,576.581,-0,-0,-0,2407.68,-2665.81,-8669.51
