Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-68.2524,17.8282,910.283,-0,-0,-0,2403.12,-2669.8,-8664.53
1,1,-67.8905,19.1178,911.327,-0,-0,-0,2406.23,-2671.58,-8660.82
1,2,-67.619,19.1857,911.24,-0,-0,-0,2404.94,-2669.51,-8659.47
1,3,-68.7276,19.0952,914.112,-0,-0,-0,2406.48,-2669.38,-8663.58
1,4,-68.343,18.9368,917.245,-0,-0,-0,2406.35,-2670.91,-8658.68
2,0,-69.1348,19.8645,912.807,-0,-0,-0,2405.23,-2667.93,-8660.18
2,1,-69.8814,19.5703,917.157,-0,-0,-0,2405.23,-2665.65,-8659.87
2,2,-69.4968,19.774,918.637,-0,-0,-0,2404.15,-2666.02,-8669.35
2,3,-71.3521,20.0228,919.333,-0,-0,-0,2402.83,-2668.34,-8665.96
2,4,-71.5783,20.9505,921.508,-0,-0,-0,2405.44,-2670.79,-8658.29
3,0,-70.9674,21.4708,925.25,-0,-0,-0,2405.07,-2670.79,-8658.84
3,1,-72.5059,21.3351,924.989,-0,-0,-0,2404.07,-2668.97,-8662
3,2,-73.0942,21.9233,925.25,-0,-0,-0,2405.23,-2668.76,-8662.87
3,3,-72.8679,22.9641,929.166,-0,-0,-0,2405.98,-2669.05,-8661.92
3,4,-73.6372,23.9822,930.384,-0,-0,-0,2409.05,-2669.88,-8660.1
4,0,-73.162,23.8238,928.905,-0,-0,-0,2406.85,-2669.92,-8664.93
4,1,-72.4154,25.4528,932.125,-0,-0,-0,2407.18,-2669.17,-8659.71
4,2,-73.0489,25.679,932.038,-0,-0,-0,2405.23,-2668.92,-8661.76
4,3,-71.7819,26.1315,930.993,-0,-0,-0,2406.64,-2670.58,-8662.4
4,4,-72.4154,26.5388,933.43,-0,-0,-0,2404.49,-2668.84,-8656.86
5,0,-72.5512,26.3578,938.129,-0,-0,-0,2405.94,-2668.68,-8660.02
5,1,-70.9222,26.5388,936.824,-0,-0,-0,2404.61,-2670.04,-8661.69
5,2,-70.6733,26.6519,939.086,-0,-0,-0,2405.61,-2668.1,-8665.88
5,3,-70.3339,25.4528,939.956,-0,-0,-0,2406.64,-2668.01,-8661.29
5,4,-69.7004,26.0637,943.263,-0,-0,-0,2406.06,-2668.43,-8662.95
6,0,-69.2027,24.9777,943.089,-0,-0,-0,2406.85,-2669.09,-8664.53
6,1,-69.2027,25.6112,945.003,-0,-0,-0,2405.15,-2669.75,-8660.58
6,2,-68.4334,24.8193,945.352,-0,-0,-0,2403.62,-2669.75,-8659
6,3,-68.8181,24.8645,947.092,-0,-0,-0,2402.21,-2671.62,-8658.92
6,4,-67.9131,24.2311,950.138,-0,-0,-0,2404.32,-2669.75,-8659.39
7,0,-68.3203,22.6926,949.789,-0,-0,-0,2405.32,-2669.26,-8663.03
7,1,-68.1167,22.4211,949.528,-0,-0,-0,2404.44,-2669.59,-8662
7,2,-68.6597,22.2853,951.269,-0,-0,-0,2405.48,-2670.42,-8658.68
7,3,-68.2524,21.9007,948.658,-0,-0,-0,2406.27,-2669.63,-8662.71
7,4,-69.2706,22.1043,951.269,-0,-0,-0,2408.14,-2670,-8663.03
8,0,-68.5918,21.3351,951.095,-0,-0,-0,2405.03,-2671,-8660.66
8,1,-68.7276,20.7016,951.356,-0,-0,-0,2405.65,-2668.1,-8667.14
