Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-5.94721,-2.94249,688.041,-0,-0,-0,2403.86,-2668.55,-8661.21
1,1,-5.90196,-3.82486,687.606,-0,-0,-0,2405.19,-2668.76,-8662.87
1,2,-6.08296,-3.71174,690.652,-0,-0,-0,2405.77,-2669.13,-8665.95
1,3,-5.72096,-3.87011,689.695,-0,-0,-0,2408.47,-2670.91,-8658.52
1,4,-5.96983,-4.48098,689.26,-0,-0,-0,2405.85,-2669.46,-8660.5
2,0,-6.12821,-5.0466,692.479,-0,-0,-0,2405.85,-2669.59,-8661.69
2,1,-5.96983,-5.1371,691.522,-0,-0,-0,2405.9,-2669.34,-8662.87
2,2,-5.99246,-5.2276,693.088,-0,-0,-0,2404.9,-2671.7,-8659.08
2,3,-6.12821,-5.54435,691.522,-0,-0,-0,2405.98,-2668.55,-8670.38
2,4,-6.21871,-5.92897,694.22,-0,-0,-0,2405.85,-2669.75,-8665.01
3,0,-5.99246,-6.47197,697.004,-0,-0,-0,2406.31,-2669.84,-8664.37
3,1,-6.21871,-6.40409,694.829,-0,-0,-0,2404.4,-2669.09,-8656.86
3,2,-6.5807,-7.08284,694.046,-0,-0,-0,2405.15,-2664.99,-8662.63
3,3,-6.10558,-7.26384,698.048,-0,-0,-0,2405.27,-2669.09,-8659.79
3,4,-5.90196,-7.85208,697.874,-0,-0,-0,2405.94,-2669.84,-8662.55
4,0,-6.26396,-8.03308,698.484,-0,-0,-0,2404.11,-2669.92,-8662.4
4,1,-5.99246,-8.55345,698.048,-0,-0,-0,2404.94,-2669.38,-8662.87
4,2,-6.01508,-8.55345,698.396,-0,-0,-0,2405.77,-2669.05,-8661.21
4,3,-5.81146,-8.8702,698.745,-0,-0,-0,2405.77,-2668.76,-8661.45
4,4,-6.46758,-9.36795,694.394,-0,-0,-0,2404.03,-2666.19,-8668.25
5,0,-6.21871,-10.0919,697.091,-0,-0,-0,2406.39,-2669.92,-8661.29
5,1,-6.01508,-10.4992,700.224,-0,-0,-0,2405.61,-2669.55,-8660.97
5,2,-5.94721,-10.4766,697.352,-0,-0,-0,2403.7,-2669.84,-8658.52
5,3,-5.78883,-11.3816,700.311,-0,-0,-0,2405.73,-2668.55,-8658.76
5,4,-6.28658,-11.2458,701.007,-0,-0,-0,2405.56,-2669.92,-8659.47
6,0,-5.83408,-11.9019,698.222,-0,-0,-0,2404.65,-2669.17,-8662
6,1,-5.78883,-11.7436,699.354,-0,-0,-0,2406.93,-2668.92,-8661.53
6,2,-6.44495,-12.0377,699.093,-0,-0,-0,2405.98,-2670.71,-8661.21
6,3,-6.01508,-12.3092,699.267,-0,-0,-0,2405.48,-2670,-8658.76
6,4,-5.74358,-12.4675,699.18,-0,-0,-0,2406.06,-2669.71,-8661.45
7,0,-6.46758,-13.3273,700.572,-0,-0,-0,2404.57,-2672.78,-8668.09
7,1,-6.98795,-12.9653,698.222,-0,-0,-0,2407.8,-2670.91,-8663.98
