Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,93.2689,-13.8665,954.019,-0,-0,-0,2404.2,-2670,-8666.03
1,1,94.8526,-13.5497,954.019,-0,-0,-0,2404.4,-2667.64,-8660.74
1,2,95.3277,-13.8212,951.843,-0,-0,-0,2405.56,-2668.26,-8662.95
1,3,96.9793,-13.8439,953.061,-0,-0,-0,2404.82,-2665.28,-8660.74
1,4,97.3866,-13.5271,955.063,-0,-0,-0,2405.69,-2668.05,-8665.72
2,0,98.5631,-13.7534,953.496,-0,-0,-0,2405.48,-2671.41,-8661.29
2,1,98.6988,-13.5271,954.715,-0,-0,-0,2406.85,-2670.29,-8662.79
2,2,100.237,-13.6176,956.107,-0,-0,-0,2403.49,-2669.38,-8661.21
2,3,101.029,-13.4592,954.28,-0,-0,-0,2407.51,-2668.1,-8660.66
2,4,102.115,-13.6176,956.89,-0,-0,-0,2406.27,-2668.1,-8660.5
3,0,102.455,-12.3506,957.325,-0,-0,-0,2405.44,-2668.68,-8662.48
3,1,103.789,-13.5497,957.499,-0,-0,-0,2405.69,-2667.89,-8661.69
3,2,104.74,-12.9841,957.238,-0,-0,-0,2405.07,-2670.25,-8662.24
3,3,105.305,-12.6221,957.064,-0,-0,-0,2405.73,-2669.67,-8662.24
3,4,106.052,-12.3732,955.933,-0,-0,-0,2402.99,-2670.62,-8664.69
4,0,106.776,-12.3506,958.892,-0,-0,-0,2406.1,-2666.98,-8667.69
4,1,107.817,-12.4411,955.933,-0,-0,-0,2404.86,-2669.67,-8662.16
4,2,109.016,-12.1244,960.371,-0,-0,-0,2405.4,-2669.67,-8661.45
4,3,109.287,-12.2149,957.847,-0,-0,-0,2405.81,-2670.25,-8659.71
4,4,110.079,-11.5814,956.803,-0,-0,-0,2405.98,-2669.75,-8660.89
5,0,110.871,-11.9207,956.629,-0,-0,-0,2407.26,-2668.92,-8662.24
5,1,111.21,-11.0836,962.72,-0,-0,-0,2410.21,-2669.51,-8651.8
5,2,112.59,-11.1063,962.546,-0,-0,-0,2404.98,-2669.92,-8661.61
5,3,112.93,-10.9479,962.372,-0,-0,-0,2405.61,-2669.05,-8664.77
5,4,113.541,-10.8121,962.372,-0,-0,-0,2406.68,-2669.96,-8663.27
6,0,114.219,-9.88451,962.546,-0,-0,-0,2402.12,-2670.5,-8668.56
6,1,114.197,-9.61302,963.417,-0,-0,-0,2403.08,-2669.88,-8663.11
6,2,115.6,-10.4501,965.331,-0,-0,-0,2403.82,-2669.55,-8659.23
6,3,116.278,-10.0881,965.505,-0,-0,-0,2404.65,-2669.84,-8663.74
6,4,115.894,-9.18315,968.464,-0,-0,-0,2407.51,-2670.58,-8666.35
7,0,117.251,-9.36414,970.204,-0,-0,-0,2407.72,-2669.63,-8664.69
7,1,118.156,-8.21028,968.725,-0,-0,-0,2407.39,-2670.33,-8662.48
7,2,117.794,-8.21028,969.16,-0,-0,-0,2404.49,-2672.28,-8663.5
7,3,117.817,-8.09715,969.943,-0,-0,-0,2403.91,-2670.75,-8660.26
7,4,118.631,-7.16954,971.074,-0,-0,-0,2404.53,-2669.55,-8663.58
8,0,118.993,-8.18765,968.812,-0,-0,-0,2404.78,-2669.8,-8660.89
8,1,119.989,-7.48628,972.989,-0,-0,-0,2404.65,-2668.84,-8655.6
8,2,119.287,-7.23741,970.9,-0,-0,-0,2406.6,-2669.3,-8663.74
8,3,119.717,-6.92066,970.726,-0,-0,-0,2405.9,-2669.46,-8662.95
8,4,119.672,-6.96591,972.205,-0,-0,-0,2405.56,-2669.84,-8665.4
9,0,119.287,-6.67179,973.859,-0,-0,-0,2405.15,-2668.8,-8665.08
9,1,120.011,-6.26454,974.816,-0,-0,-0,2405.44,-2669.13,-8656.23
9,2,120.079,-5.90255,972.553,-0,-0,-0,2404.98,-2669.26,-8661.92
9,3,119.672,-6.33242,971.77,-0,-0,-0,2404.53,-2668.92,-8656.47
9,4,120.645,-6.35504,972.815,-0,-0,-0,2406.48,-2670.79,-8661.84
10,0,119.785,-5.69892,974.033,-0,-0,-0,2405.44,-2670.21,-8662.71
10,1,119.808,-5.54055,974.729,-0,-0,-0,2404.74,-2670.25,-8661.05
10,2,120.781,-5.35955,975.686,-0,-0,-0,2405.11,-2672.78,-8653.86
10,3,119.785,-4.6808,974.642,-0,-0,-0,2406.73,-2670.87,-8660.58
