Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,3.35047,8.02086,544.197,-0,-0,-0,2405.61,-2667.81,-8663.42
1,1,3.07897,8.17924,541.847,-0,-0,-0,2405.27,-2670.04,-8662.55
1,2,2.85272,8.20186,544.458,-0,-0,-0,2405.56,-2669.59,-8664.06
1,3,2.92059,7.79461,543.501,-0,-0,-0,2408.88,-2670.91,-8655.12
1,4,3.35047,7.99824,543.501,-0,-0,-0,2405.73,-2668.59,-8665.32
2,0,2.73959,8.92586,544.284,-0,-0,-0,2406.27,-2669.92,-8660.74
2,1,3.03372,9.10685,544.98,-0,-0,-0,2404.61,-2669.75,-8658.29
2,2,2.6491,9.10685,545.676,-0,-0,-0,2406.23,-2667.51,-8659.23
2,3,2.21922,8.83536,543.849,-0,-0,-0,2406.27,-2672.91,-8656.86
2,4,2.76222,9.58198,543.066,-0,-0,-0,2404.9,-2668.84,-8662
3,0,2.87534,9.3331,545.154,-0,-0,-0,2405.03,-2670.29,-8663.27
3,1,3.50884,9.44623,546.459,-0,-0,-0,2405.32,-2666.35,-8674.89
3,2,2.73959,9.12948,547.939,-0,-0,-0,2403.7,-2665.86,-8671.65
3,3,3.12422,8.99373,549.592,-0,-0,-0,2405.44,-2669.01,-8663.58
3,4,3.05634,9.19735,546.111,-0,-0,-0,2404.78,-2670.09,-8659.23
4,0,4.00659,9.0616,544.98,-0,-0,-0,2405.65,-2665.98,-8662.08
4,1,3.87084,9.28785,545.676,-0,-0,-0,2405.19,-2668.8,-8662.48
4,2,3.19209,9.2426,548.113,-0,-0,-0,2405.65,-2669.34,-8661.92
4,3,3.98396,8.97111,546.285,-0,-0,-0,2406.27,-2671.5,-8662.79
4,4,3.32784,9.6951,549.592,-0,-0,-0,2406.39,-2670.17,-8657.97
5,0,3.46359,9.67247,543.849,-0,-0,-0,2405.94,-2669.75,-8661.68
5,1,3.93871,9.19735,547.243,-0,-0,-0,2405.69,-2670.04,-8668.01
5,2,4.02921,8.97111,548.026,-0,-0,-0,2406.35,-2672.37,-8659.95
5,3,3.84821,8.90323,548.461,-0,-0,-0,2407.14,-2670,-8651.41
5,4,4.41383,8.79011,547.156,-0,-0,-0,2406.19,-2669.84,-8657.26
6,0,4.43646,8.60911,548.809,-0,-0,-0,2405.11,-2670.29,-8655.04
6,1,4.64008,8.22449,548.461,-0,-0,-0,2406.23,-2669.38,-8654.81
6,2,5.34145,7.65887,549.331,-0,-0,-0,2405.61,-2669.59,-8663.74
6,3,5.61295,7.27424,549.07,-0,-0,-0,2405.77,-2669.88,-8662.4
6,4,5.40932,7.79461,551.245,-0,-0,-0,2405.56,-2669.75,-8660.5
