Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,16.8321,-3.87215,650.16,-0,-0,-0,2406.27,-2669.71,-8663.9
1,1,17.1262,-3.1934,645.896,-0,-0,-0,2405.4,-2671.25,-8661.29
1,2,16.8095,-3.1934,648.767,-0,-0,-0,2405.11,-2669.55,-8659.63
1,3,16.8774,-3.12553,648.854,-0,-0,-0,2406.15,-2669.3,-8662.08
1,4,17.2846,-3.23865,648.767,-0,-0,-0,2400.96,-2668.14,-8669.35
2,0,17.4203,-2.53728,648.941,-0,-0,-0,2403.53,-2667.02,-8663.82
2,1,17.443,-3.44228,647.81,-0,-0,-0,2405.36,-2669.96,-8662.08
2,2,17.3977,-2.98978,648.245,-0,-0,-0,2405.81,-2670.25,-8661.13
2,3,17.8728,-2.65041,649.55,-0,-0,-0,2408.88,-2671.29,-8657.34
2,4,17.8276,-2.42416,646.766,-0,-0,-0,2404.07,-2669.59,-8667.54
3,0,18.2801,-1.72279,647.636,-0,-0,-0,2405.32,-2668.39,-8662.87
3,1,19.0041,-2.31104,648.767,-0,-0,-0,2405.23,-2669.17,-8662.95
3,2,18.7552,-1.85854,647.549,-0,-0,-0,2405.52,-2670.83,-8660.82
3,3,18.529,-1.81329,647.288,-0,-0,-0,2405.27,-2670.13,-8664.61
3,4,18.5968,-2.49203,649.638,-0,-0,-0,2405.98,-2669.34,-8664.37
4,0,19.3435,-1.49654,646.07,-0,-0,-0,2405.94,-2669.71,-8662.79
4,1,19.253,-1.92641,644.764,-0,-0,-0,2404.98,-2667.97,-8668.17
4,2,19.2077,-1.04405,645.722,-0,-0,-0,2403.95,-2671.25,-8650.38
4,3,18.6873,-1.24767,645.722,-0,-0,-0,2405.73,-2668.92,-8660.26
4,4,18.7552,-0.4558,645.113,-0,-0,-0,2405.15,-2669.21,-8662.32
5,0,19.434,-0.704673,643.024,-0,-0,-0,2405.19,-2670.75,-8663.27
5,1,20.2032,-0.840422,646.157,-0,-0,-0,2405.85,-2669.84,-8661.76
5,2,20.0901,-0.636798,647.636,-0,-0,-0,2405.11,-2670.04,-8666.51
5,3,19.7055,-0.953546,645.896,-0,-0,-0,2407.84,-2668.84,-8665.01
5,4,19.4792,-0.682048,644.764,-0,-0,-0,2405.81,-2667.14,-8665.4
6,0,19.5471,-0.568924,645.374,-0,-0,-0,2405.65,-2669.55,-8666.03
6,1,19.9091,-0.116427,645.374,-0,-0,-0,2408.47,-2669.3,-8662.24
6,2,20.2032,0.0645713,645.896,-0,-0,-0,2406.1,-2667.51,-8663.66
6,3,20.0675,0.720691,644.591,-0,-0,-0,2404.82,-2669.92,-8663.34
6,4,19.5018,0.584942,643.198,-0,-0,-0,2404.9,-2669.21,-8663.03
