Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-0,-0,-0,-0,-0,-0,2406.89,-2670.09,-8659.47
1,1,-0,-0,-0,-0,-0,-0,2404.86,-2669.92,-8660.1
1,2,-0,-0,-0,-0,-0,-0,2405.61,-2669.84,-8662.63
1,3,-0,-0,-0,-0,-0,-0,2403.57,-2669.92,-8660.89
1,4,-0,-0,-0,-0,-0,-0,2407.14,-2667.18,-8661.13
2,0,-0,-0,-0,-0,-0,-0,2405.48,-2669.09,-8661.68
2,1,-0,-0,-0,-0,-0,-0,2405.69,-2668.8,-8661.84
2,2,-0,-0,-0,-0,-0,-0,2408.18,-2670.62,-8655.04
2,3,-0,-0,-0,-0,-0,-0,2404.49,-2668.72,-8663.9
2,4,-0,-0,-0,-0,-0,-0,2405.32,-2669.42,-8663.74
3,0,-0,-0,-0,-0,-0,-0,2406.31,-2668.84,-8663.74
3,1,-0,-0,-0,-0,-0,-0,2406.23,-2671.45,-8656.15
3,2,-0,-0,-0,-0,-0,-0,2405.07,-2670.42,-8659
3,3,-0,-0,-0,-0,-0,-0,2406.1,-2669.84,-8661.76
3,4,-0,-0,-0,-0,-0,-0,2408.59,-2667.02,-8662.4
4,0,-0,-0,-0,-0,-0,-0,2405.48,-2671.12,-8660.58
4,1,-0,-0,-0,-0,-0,-0,2405.4,-2668.63,-8660.66
4,2,-0,-0,-0,-0,-0,-0,2405.15,-2668.39,-8663.5
4,3,-0,-0,-0,-0,-0,-0,2403.99,-2669.96,-8662
4,4,-0,-0,-0,-0,-0,-0,2407.97,-2670.71,-8660.34
5,0,-0,-0,-0,-0,-0,-0,2405.11,-2669.17,-8661.21
5,1,-0,-0,-0,-0,-0,-0,2407.93,-2668.59,-8659.08
5,2,-0,-0,-0,-0,-0,-0,2406.44,-2669.55,-8659.08
5,3,-0,-0,-0,-0,-0,-0,2405.52,-2668.97,-8663.42
5,4,-0,-0,-0,-0,-0,-0,2405.94,-2669.92,-8662.87
6,0,-0,-0,-0,-0,-0,-0,2405.69,-2669.05,-8664.14
6,1,-0,-0,-0,-0,-0,-0,2406.77,-2669.05,-8660.74
6,2,-0,-0,-0,-0,-0,-0,2405.56,-2669.67,-8661.29
6,3,-0,-0,-0,-0,-0,-0,2405.94,-2669.63,-8661.61
6,4,-0,-0,-0,-0,-0,-0,2408.72,-2667.89,-8656.86
7,0,-0,-0,-0,-0,-0,-0,2406.93,-2667.81,-8665.01
7,1,-0,-0,-0,-0,-0,-0,2405.52,-2669.63,-8661.84
7,2,-0,-0,-0,-0,-0,-0,2404.53,-2669.92,-8660.82
