Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-23.6472,0.103396,745.12,-0,-0,-0,2406.77,-2668.88,-8663.58
1,1,-23.5115,0.21652,746.687,-0,-0,-0,2406.23,-2667.97,-8662.08
1,2,-23.2626,1.07626,744.511,-0,-0,-0,2404.86,-2669.75,-8660.58
1,3,-22.154,0.782141,741.639,-0,-0,-0,2405.4,-2670.25,-8659.39
1,4,-22.7423,1.03101,744.859,-0,-0,-0,2406.06,-2670.46,-8660.74
2,0,-22.5386,0.442768,743.728,-0,-0,-0,2405.56,-2670.46,-8661.92
2,1,-22.5613,1.39301,746.164,-0,-0,-0,2405.77,-2669.42,-8662.16
2,2,-22.4255,0.646392,746.774,-0,-0,-0,2401.17,-2671.41,-8665.24
2,3,-22.6065,0.397519,744.25,-0,-0,-0,2404.45,-2666.69,-8665.72
2,4,-21.792,-0.145477,747.818,-0,-0,-0,2405.56,-2669.67,-8662.24
3,0,-22.9006,0.284395,747.47,-0,-0,-0,2405.19,-2667.93,-8661.53
3,1,-22.2219,0.329644,748.514,-0,-0,-0,2407.76,-2669.09,-8659.95
3,2,-22.1314,0.782141,746.687,-0,-0,-0,2405.61,-2669.34,-8661.13
3,3,-22.2898,0.759516,748.427,-0,-0,-0,2405.65,-2669.88,-8663.11
3,4,-21.2264,0.691641,745.816,-0,-0,-0,2402.99,-2669.75,-8665.4
4,0,-21.7468,0.103396,748.427,-0,-0,-0,2407.39,-2669.13,-8663.98
4,1,-21.1133,-0.258601,749.906,-0,-0,-0,2405.65,-2669.55,-8659
4,2,-21.3621,0.91789,749.471,-0,-0,-0,2404.82,-2670.04,-8659.87
4,3,-21.1359,0.193895,750.95,-0,-0,-0,2406.77,-2667.56,-8653.3
4,4,-20.3893,0.442768,747.992,-0,-0,-0,2406.31,-2670.71,-8663.35
5,0,-19.4617,-0.0776027,749.036,-0,-0,-0,2405.77,-2669.26,-8661.37
5,1,-18.9865,0.307019,749.297,-0,-0,-0,2404.94,-2669.55,-8662.79
5,2,-19.2807,-0.122852,747.557,-0,-0,-0,2406.15,-2670.38,-8656.15
5,3,-18.4209,0.465393,751.734,-0,-0,-0,2405.48,-2670.58,-8655.52
5,4,-18.3983,0.442768,750.254,-0,-0,-0,2405.56,-2669.46,-8654.96
6,0,-17.7648,0.17127,751.995,-0,-0,-0,2406.1,-2668.88,-8656.7
6,1,-17.2897,0.420143,751.56,-0,-0,-0,2404.36,-2668.51,-8661.53
6,2,-17.448,0.691641,748.34,-0,-0,-0,2405.36,-2669.13,-8660.74
6,3,-17.0408,1.30251,749.297,-0,-0,-0,2405.52,-2669.09,-8662.48
6,4,-15.5476,1.00839,750.689,-0,-0,-0,2406.27,-2668.01,-8658.29
7,0,-16.4525,0.985764,752.517,-0,-0,-0,2403.28,-2670.42,-8662.4
7,1,-15.9548,1.57401,749.21,-0,-0,-0,2405.98,-2669.8,-8661.53
7,2,-15.6607,2.16226,751.037,-0,-0,-0,2404.53,-2669.05,-8661.53
7,3,-15.1629,1.91338,745.729,-0,-0,-0,2405.03,-2669.42,-8662.71
7,4,-14.7783,1.66451,751.821,-0,-0,-0,2408.55,-2670.13,-8655.99
8,0,-14.7104,1.84551,750.776,-0,-0,-0,2405.9,-2669.71,-8660.97
8,1,-14.2806,1.41564,749.819,-0,-0,-0,2406.27,-2668.97,-8661.69
8,2,-13.9186,1.57401,746.164,-0,-0,-0,2408.26,-2670.46,-8662.87
8,3,-13.6018,2.59213,748.775,-0,-0,-0,2405.15,-2669.01,-8660.74
8,4,-13.6018,3.04462,748.166,-0,-0,-0,2405.36,-2669.26,-8660.74
9,0,-12.8552,1.77763,747.035,-0,-0,-0,2404.28,-2669.17,-8662.32
9,1,-12.8099,1.95863,745.468,-0,-0,-0,2405.9,-2668.3,-8661.13
9,2,-12.4027,2.68263,751.386,-0,-0,-0,2405.98,-2669.34,-8658.05
9,3,-10.9773,2.9315,745.642,-0,-0,-0,2405.52,-2669.42,-8656.39
9,4,-11.6787,2.02651,748.34,-0,-0,-0,2405.4,-2668.88,-8660.34
10,0,-10.6832,2.13963,746.251,-0,-0,-0,2405.77,-2668.68,-8661.53
10,1,-9.61985,1.57401,746.339,-0,-0,-0,2405.4,-2669.46,-8660.34
10,2,-10.2307,2.479,744.337,-0,-0,-0,2405.73,-2671.25,-8656.86
10,3,-9.3936,2.32063,748.253,-0,-0,-0,2405.19,-2669.84,-8661.69
10,4,-8.19449,2.95412,744.424,-0,-0,-0,2405.23,-2669.21,-8662.24
11,0,-7.99086,2.95412,743.989,-0,-0,-0,2405.65,-2669.75,-8661.05
11,1,-7.53837,3.40662,744.685,-0,-0,-0,2404.28,-2670.09,-8662.71
11,2,-6.837,2.72788,745.294,-0,-0,-0,2405.36,-2670.42,-8663.19
11,3,-6.15825,3.58762,743.119,-0,-0,-0,2405.56,-2669.8,-8662.4
11,4,-5.18538,3.67812,747.47,-0,-0,-0,2405.69,-2668.97,-8660.82
12,0,-4.64239,2.32063,741.639,-0,-0,-0,2405.94,-2670.42,-8667.38
12,1,-2.9229,2.16226,742.771,-0,-0,-0,2404.49,-2671.91,-8657.49
12,2,-3.30752,3.22562,745.468,-0,-0,-0,2405.61,-2670.17,-8665.4
12,3,-2.35728,3.08987,742.075,-0,-0,-0,2405.36,-2669.21,-8664.85
12,4,-1.02242,3.2935,742.945,-0,-0,-0,2407.6,-2668.34,-8667.85
13,0,-0.931917,3.203,744.163,-0,-0,-0,2407.22,-2667.89,-8658.44
13,1,0.470823,3.70074,746.513,-0,-0,-0,2405.48,-2669.34,-8659.31
13,2,1.39844,3.22562,746.426,-0,-0,-0,2405.52,-2670.75,-8659.55
13,3,2.12244,2.81838,740.682,-0,-0,-0,2405.81,-2671.74,-8658.21
13,4,2.9143,3.13512,742.51,-0,-0,-0,2405.15,-2671.29,-8658.05
14,0,3.5478,2.72788,741.291,-0,-0,-0,2405.27,-2671.5,-8659.95
14,1,4.76954,2.7505,741.988,-0,-0,-0,2405.81,-2669.59,-8660.34
14,2,5.42566,2.9315,737.724,-0,-0,-0,2404.45,-2668.84,-8661.92
14,3,6.44378,2.32063,744.337,-0,-0,-0,2405.65,-2669.63,-8662.63
14,4,7.39402,2.59213,739.29,-0,-0,-0,2405.65,-2669.3,-8661.61
15,0,8.09539,1.93601,738.159,-0,-0,-0,2407.47,-2668.92,-8665.48
15,1,8.88726,1.50614,742.423,-0,-0,-0,2404.49,-2668.63,-8661.53
15,2,9.67913,2.36588,741.639,-0,-0,-0,2404.86,-2670.04,-8660.5
15,3,10.6972,1.77763,741.378,-0,-0,-0,2405.48,-2669.46,-8656.31
15,4,11.0819,1.57401,740.421,-0,-0,-0,2404.74,-2668.3,-8658.21
16,0,11.4891,1.80026,740.856,-0,-0,-0,2404.9,-2669.34,-8657.97
16,1,13.0955,1.66451,739.812,-0,-0,-0,2405.07,-2668.68,-8662.24
16,2,14.0231,1.82288,739.638,-0,-0,-0,2407.84,-2668.51,-8667.77
16,3,13.8873,2.81838,737.463,-0,-0,-0,2405.07,-2665.36,-8666.59
16,4,14.9281,1.21201,737.115,-0,-0,-0,2405.27,-2669.59,-8659.55
17,0,14.6113,2.04913,736.766,-0,-0,-0,2407.14,-2668.68,-8663.19
17,1,16.3082,2.41113,735.113,-0,-0,-0,2403.12,-2670.25,-8662.95
17,2,16.0593,1.12151,737.202,-0,-0,-0,2405.27,-2670.83,-8661.61
17,3,16.5118,1.37039,737.724,-0,-0,-0,2405.61,-2669.34,-8661.45
17,4,17.5978,0.940515,733.895,-0,-0,-0,2404.94,-2665.86,-8661.37
18,0,19.2721,1.18939,734.504,-0,-0,-0,2404.2,-2669.46,-8662.08
18,1,19.634,1.95863,732.677,-0,-0,-0,2404.74,-2669.21,-8656.55
18,2,19.9508,1.73238,732.328,-0,-0,-0,2404.49,-2669.8,-8660.18
18,3,20.177,1.86813,730.936,-0,-0,-0,2404.82,-2670.46,-8660.89
18,4,20.6522,1.59663,731.197,-0,-0,-0,2405.56,-2669.51,-8663.9
19,0,20.9237,2.16226,731.632,-0,-0,-0,2405.44,-2669.8,-8664.06
19,1,21.6703,1.73238,726.585,-0,-0,-0,2406.35,-2667.51,-8663.58
19,2,21.8739,1.59663,726.585,-0,-0,-0,2407.89,-2668.55,-8658.84
19,3,22.8468,2.18488,730.414,-0,-0,-0,2407.22,-2670.21,-8663.42
19,4,22.2812,2.5695,725.367,-0,-0,-0,2407.6,-2671.33,-8663.03
20,0,22.168,1.86813,722.495,-0,-0,-0,2406.93,-2672.16,-8669.12
20,1,23.8875,1.75501,724.236,-0,-0,-0,2408.67,-2670.25,-8663.74
20,2,23.2766,2.04913,723.366,-0,-0,-0,2406.77,-2668.68,-8660.58
20,3,24.2948,2.34325,722.321,-0,-0,-0,2406.56,-2667.47,-8663.58
20,4,25.1998,1.27989,720.32,-0,-0,-0,2404.9,-2670.46,-8656.94
21,0,24.6568,1.64188,721.016,-0,-0,-0,2406.39,-2669.75,-8664.29
21,1,25.6523,1.46089,718.667,-0,-0,-0,2405.03,-2670.83,-8663.27
21,2,25.5165,2.09438,715.621,-0,-0,-0,2406.15,-2670.62,-8663.19
21,3,25.8559,2.3885,715.795,-0,-0,-0,2403.91,-2670.21,-8665.48
21,4,26.7382,2.25275,713.706,-0,-0,-0,2406.02,-2669.26,-8659.95
22,0,26.4441,1.93601,713.794,-0,-0,-0,2405.23,-2669.17,-8660.42
22,1,27.1229,1.89076,712.575,-0,-0,-0,2402.45,-2669.71,-8658.68
22,2,28.1184,2.52425,708.833,-0,-0,-0,2405.07,-2668.68,-8658.36
22,3,28.4125,1.84551,706.484,-0,-0,-0,2407.06,-2669.22,-8662.4
22,4,27.9826,2.23013,706.223,-0,-0,-0,2406.02,-2668.59,-8661.13
23,0,28.684,2.99937,710.487,-0,-0,-0,2404.03,-2669.46,-8662.79
23,1,28.9555,2.23013,705.44,-0,-0,-0,2404.49,-2671.29,-8661.05
