Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,25.881,8.40096,738.84,-0,-0,-0,2404.98,-2669.21,-8662.4
1,1,26.4692,8.58196,736.491,-0,-0,-0,2405.85,-2670.29,-8661.69
1,2,26.3787,9.07971,737.709,-0,-0,-0,2406.44,-2670.96,-8665.08
1,3,26.4466,8.21996,736.056,-0,-0,-0,2407.72,-2668.01,-8663.27
1,4,27.4647,7.99371,740.32,-0,-0,-0,2405.56,-2668.68,-8663.58
2,0,27.2159,7.79009,740.059,-0,-0,-0,2405.44,-2668.47,-8661.53
2,1,28.1208,8.03896,736.491,-0,-0,-0,2403.66,-2670.96,-8666.03
2,2,27.7136,7.94846,735.969,-0,-0,-0,2402.37,-2673.4,-8663.19
2,3,28.3923,8.53671,738.927,-0,-0,-0,2405.36,-2670.17,-8663.19
2,4,27.9398,7.40547,737.535,-0,-0,-0,2406.48,-2668.72,-8664.53
3,0,28.5507,7.33759,736.143,-0,-0,-0,2404.61,-2667.56,-8668.33
3,1,28.4602,6.40998,739.45,-0,-0,-0,2408.3,-2665.86,-8657.81
3,2,28.6412,7.76747,737.274,-0,-0,-0,2405.19,-2669.8,-8660.66
3,3,28.3245,7.20185,739.798,-0,-0,-0,2404.24,-2669.67,-8660.66
3,4,29.4331,7.88059,736.752,-0,-0,-0,2405.07,-2671.25,-8657.65
4,0,29.2295,7.76747,738.666,-0,-0,-0,2402.12,-2673.4,-8663.98
4,1,29.139,6.9756,741.016,-0,-0,-0,2405.27,-2670.54,-8662
4,2,29.4105,6.04798,740.494,-0,-0,-0,2404.78,-2669.96,-8661.45
4,3,30.2476,7.20185,737.883,-0,-0,-0,2407.68,-2668.59,-8660.74
4,4,30.7227,6.7946,738.492,-0,-0,-0,2405.07,-2668.55,-8661.92
5,0,30.406,6.90772,740.146,-0,-0,-0,2404.78,-2669.26,-8663.11
5,1,30.8585,7.11135,740.581,-0,-0,-0,2405.73,-2673.07,-8665.32
5,2,31.7408,7.08872,739.624,-0,-0,-0,2406.1,-2671.74,-8666.9
5,3,31.2431,6.86247,739.798,-0,-0,-0,2405.56,-2669.71,-8664.77
