Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-10.5942,5.48973,583.809,-0,-0,-0,2404.94,-2667.89,-8658.05
1,1,-10.0738,5.58023,585.376,-0,-0,-0,2406.48,-2670.09,-8662.4
1,2,-10.5037,5.82911,581.982,-0,-0,-0,2406.15,-2670.21,-8662.55
1,3,-9.98334,4.92411,584.418,-0,-0,-0,2405.36,-2669.17,-8663.5
1,4,-9.16885,5.67073,581.721,-0,-0,-0,2403.57,-2669.17,-8665.8
2,0,-9.66659,5.19561,582.069,-0,-0,-0,2404.61,-2668.97,-8662.4
2,1,-9.3046,4.47162,582.504,-0,-0,-0,2405.27,-2669.3,-8663.9
2,2,-9.05572,5.30874,587.116,-0,-0,-0,2402.08,-2671.41,-8661.05
2,3,-9.3046,5.28611,582.939,-0,-0,-0,2405.65,-2670.21,-8661.37
2,4,-8.69373,4.20012,581.025,-0,-0,-0,2405.69,-2670.13,-8662.16
3,0,-8.71635,4.47162,578.675,-0,-0,-0,2405.48,-2669.71,-8662.16
3,1,-9.37247,4.94674,580.067,-0,-0,-0,2404.98,-2670.09,-8662.16
3,2,-8.96522,5.12774,582.939,-0,-0,-0,2405.56,-2669.42,-8663.9
3,3,-7.78873,5.73861,582.852,-0,-0,-0,2405.32,-2670,-8664.06
3,4,-8.17336,5.03724,579.11,-0,-0,-0,2405.03,-2669.8,-8662.4
4,0,-7.96973,4.29062,582.765,-0,-0,-0,2406.93,-2669.71,-8665.01
4,1,-7.83398,4.76574,582.069,-0,-0,-0,2403.08,-2668.22,-8663.27
4,2,-8.24123,5.69336,581.634,-0,-0,-0,2404.94,-2669.09,-8659.63
4,3,-8.26385,4.83361,580.067,-0,-0,-0,2405.23,-2669.26,-8662.87
4,4,-8.7616,3.906,578.762,-0,-0,-0,2405.44,-2670.46,-8664.85
5,0,-7.74348,3.61187,583.2,-0,-0,-0,2405.19,-2669.84,-8663.82
5,1,-8.21861,4.90149,583.026,-0,-0,-0,2405.94,-2670.46,-8664.06
5,2,-8.3091,4.15487,583.548,-0,-0,-0,2405.15,-2668.43,-8662.55
5,3,-8.10548,3.38562,587.116,-0,-0,-0,2405.85,-2669.05,-8660.02
5,4,-8.06023,2.41276,584.592,-0,-0,-0,2405.77,-2670,-8663.74
6,0,-9.07835,3.001,581.025,-0,-0,-0,2404.98,-2668.88,-8661.21
6,1,-8.21861,2.70688,585.201,-0,-0,-0,2408.76,-2668.39,-8656.63
6,2,-8.15073,3.11413,587.812,-0,-0,-0,2404.53,-2672.03,-8661.84
6,3,-7.67561,1.50776,590.249,-0,-0,-0,2405.19,-2669.67,-8660.89
6,4,-9.05572,3.544,589.204,-0,-0,-0,2405.61,-2670,-8662.32
7,0,-8.15073,2.48063,586.594,-0,-0,-0,2406.64,-2668.88,-8665.24
7,1,-8.69373,2.43538,584.505,-0,-0,-0,2404.28,-2671.62,-8659
7,2,-8.17336,1.55301,588.421,-0,-0,-0,2404.65,-2669.46,-8663.66
7,3,-8.53535,1.93764,590.597,-0,-0,-0,2404.94,-2670.5,-8660.89
7,4,-8.62585,1.75664,588.334,-0,-0,-0,2404.49,-2668.47,-8660.97
8,0,-7.29099,1.19102,593.468,-0,-0,-0,2405.32,-2669.88,-8661.45
8,1,-7.96973,1.03264,592.163,-0,-0,-0,2405.07,-2669.63,-8660.97
8,2,-7.78873,2.52588,594.425,-0,-0,-0,2406.19,-2671,-8656.71
8,3,-7.06474,1.28152,593.294,-0,-0,-0,2403.78,-2669.67,-8662
8,4,-7.94711,2.00551,595.992,-0,-0,-0,2405.98,-2668.97,-8662.32
9,0,-7.20049,0.896894,597.558,-0,-0,-0,2405.65,-2669.22,-8661.13
9,1,-7.10999,1.46251,595.209,-0,-0,-0,2405.03,-2666.4,-8666.82
9,2,-6.90636,1.68876,596.34,-0,-0,-0,2407.18,-2668.43,-8665.72
9,3,-7.49461,1.14577,597.384,-0,-0,-0,2405.48,-2670.04,-8664.93
9,4,-7.08736,1.01002,598.95,-0,-0,-0,2405.56,-2669.84,-8661.29
10,0,-7.38149,1.21364,601.039,-0,-0,-0,2401.96,-2671.21,-8662.08
10,1,-6.54437,1.05527,597.906,-0,-0,-0,2406.48,-2668.88,-8661.05
10,2,-6.92899,0.78377,605.042,-0,-0,-0,2405.27,-2669.46,-8662.79
10,3,-6.97424,1.28152,602.431,-0,-0,-0,2405.23,-2669.67,-8661.84
10,4,-6.15975,0.78377,602.953,-0,-0,-0,2404.15,-2672.7,-8665.64
11,0,-6.88374,0.534896,604.781,-0,-0,-0,2406.68,-2668.01,-8667.61
11,1,-5.77512,0.467022,603.475,-0,-0,-0,2405.56,-2669.46,-8661.21
11,2,-5.97875,0.942143,602.953,-0,-0,-0,2404.65,-2670.38,-8660.74
11,3,-6.06925,0.0823999,606.086,-0,-0,-0,2405.03,-2670.96,-8652.91
11,4,-5.45838,0.0597751,607.304,-0,-0,-0,2405.11,-2669.05,-8660.42
12,0,-5.43575,0.376523,610.002,-0,-0,-0,2405.27,-2669.75,-8660.5
12,1,-5.32263,0.308648,607.826,-0,-0,-0,2407.22,-2671.37,-8656.23
12,2,-5.54888,0.467022,610.176,-0,-0,-0,2405.81,-2667.06,-8667.69
12,3,-4.82488,0.78377,611.568,-0,-0,-0,2405.65,-2669.26,-8662.79
12,4,-4.75701,-0.61897,608.522,-0,-0,-0,2405.15,-2669.3,-8659.87
13,0,-5.36788,-0.370097,611.22,-0,-0,-0,2407.97,-2668.47,-8660.26
13,1,-4.10089,0.218149,609.741,-0,-0,-0,2405.9,-2669.96,-8661.05
13,2,-5.09638,-0.551095,611.481,-0,-0,-0,2405.65,-2669.51,-8661.29
13,3,-5.119,-0.0307242,610.785,-0,-0,-0,2406.15,-2670.5,-8666.35
13,4,-4.938,0.0371503,611.307,-0,-0,-0,2404.86,-2669.21,-8663.19
14,0,-4.80226,-0.596345,612.612,-0,-0,-0,2405.19,-2669.09,-8661.05
14,1,-3.73889,-0.302222,614.701,-0,-0,-0,2406.31,-2669.55,-8666.19
14,2,-3.26377,-1.34296,614.701,-0,-0,-0,2405.23,-2670.33,-8664.14
14,3,-3.37689,-0.958342,611.394,-0,-0,-0,2405.98,-2669.63,-8661.29
14,4,-3.35427,-1.47871,612.264,-0,-0,-0,2405.32,-2669.09,-8661.76
15,0,-2.99227,-0.845218,612.612,-0,-0,-0,2404.49,-2669.26,-8660.74
15,1,-2.5624,-0.845218,613.047,-0,-0,-0,2404.44,-2667.97,-8664.37
15,2,-2.15515,-0.596345,613.221,-0,-0,-0,2405.15,-2670,-8663.9
15,3,-2.72077,-1.04884,613.57,-0,-0,-0,2404.94,-2669.26,-8665.88
15,4,-2.06465,-1.27509,616.789,-0,-0,-0,2406.93,-2667.56,-8668.88
16,0,-2.44927,-0.935717,616.18,-0,-0,-0,2404.49,-2668.05,-8667.77
16,1,-2.13253,-0.641595,614.527,-0,-0,-0,2405.56,-2669.67,-8656.94
16,2,-1.45378,-0.845218,614.005,-0,-0,-0,2405.36,-2669.3,-8661.61
16,3,-2.06465,-0.0759739,614.353,-0,-0,-0,2404.86,-2669.75,-8655.12
16,4,-1.77053,-0.437971,614.179,-0,-0,-0,2404.53,-2667.39,-8662.95
17,0,-1.90628,-1.02622,609.567,-0,-0,-0,2405.61,-2669.63,-8662.55
17,1,-1.7479,-1.61446,613.047,-0,-0,-0,2405.11,-2670.46,-8664.06
17,2,-1.43116,-0.867843,612.96,-0,-0,-0,2407.31,-2668.88,-8664.53
17,3,-1.88365,-1.52396,609.567,-0,-0,-0,2405.11,-2665.65,-8662
17,4,-0.888161,0.0371503,611.829,-0,-0,-0,2405.77,-2669.96,-8656.94
18,0,-0.93341,-0.754719,610.437,-0,-0,-0,2405.9,-2669.67,-8655.2
18,1,-0.639288,-0.0985987,612.177,-0,-0,-0,2404.69,-2669.38,-8657.02
18,2,-1.18228,-1.00359,608.784,-0,-0,-0,2405.61,-2669.71,-8661.29
18,3,-0.93341,-1.56921,610.785,-0,-0,-0,2405.77,-2669.55,-8660.74
18,4,-0.639288,-1.16197,609.915,-0,-0,-0,2407.68,-2670.29,-8661.76
19,0,-0.729787,-0.799968,606.608,-0,-0,-0,2407.1,-2669.92,-8663.66
19,1,-0.571413,-1.43346,607.739,-0,-0,-0,2405.48,-2669.46,-8658.68
19,2,-0.232041,-0.799968,609.045,-0,-0,-0,2404.65,-2670.96,-8657.5
19,3,-0.27729,-0.845218,609.306,-0,-0,-0,2404.94,-2668.05,-8665.24
19,4,-0.661913,-0.302222,606.956,-0,-0,-0,2405.44,-2668.26,-8664.29
20,0,-0.27729,-0.845218,606.956,-0,-0,-0,2405.52,-2667.97,-8661.29
20,1,-0.639288,-0.551095,605.303,-0,-0,-0,2405.9,-2668.1,-8662.95
20,2,-0.299915,-1.16197,606.608,-0,-0,-0,2404.69,-2668.26,-8660.58
20,3,-0.118917,-1.11672,605.738,-0,-0,-0,2405.85,-2670.38,-8662.95
20,4,-0.141541,-1.34296,604.694,-0,-0,-0,2406.19,-2670.09,-8663.74
21,0,-0.209416,-1.27509,606.695,-0,-0,-0,2405.69,-2669.67,-8659.39
