Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-2.38556,5.29244,586.322,-0,-0,-0,2404.69,-2669.84,-8661.21
1,1,-2.56656,5.79019,585.8,-0,-0,-0,2404.65,-2669.46,-8657.89
1,2,-2.31769,6.10694,585.887,-0,-0,-0,2403.57,-2668.3,-8659.16
1,3,-2.52131,5.85807,585.104,-0,-0,-0,2402.62,-2669.34,-8657.57
1,4,-2.63443,6.60468,585.365,-0,-0,-0,2407.31,-2667.51,-8659.71
2,0,-3.2453,6.87618,584.495,-0,-0,-0,2411.7,-2668.34,-8664.53
2,1,-2.79281,6.60468,582.145,-0,-0,-0,2408.59,-2670.96,-8669.43
2,2,-2.56656,7.10243,584.756,-0,-0,-0,2405.73,-2668.68,-8666.27
2,3,-2.81543,7.07981,585.017,-0,-0,-0,2405.73,-2672.45,-8658.84
2,4,-3.04168,7.14768,582.406,-0,-0,-0,2404.49,-2670.71,-8658.52
3,0,-3.08693,7.12506,583.015,-0,-0,-0,2405.56,-2669.84,-8659.08
3,1,-2.86068,7.64543,581.536,-0,-0,-0,2407.47,-2670.21,-8658.6
3,2,-2.99643,7.55493,581.014,-0,-0,-0,2407.39,-2669.17,-8665.16
3,3,-3.26793,7.64543,583.537,-0,-0,-0,2405.94,-2669.38,-8664.21
3,4,-3.62993,8.48255,582.145,-0,-0,-0,2404.61,-2670,-8664.06
4,0,-3.53943,8.52779,578.751,-0,-0,-0,2404.15,-2666.89,-8657.89
4,1,-3.74305,8.91242,579.883,-0,-0,-0,2403.12,-2669.96,-8660.18
4,2,-3.3358,9.25179,581.884,-0,-0,-0,2405.94,-2670.67,-8661.29
4,3,-3.17743,8.95767,583.624,-0,-0,-0,2405.48,-2671.62,-8660.66
4,4,-3.81093,8.36942,581.449,-0,-0,-0,2404.11,-2669.8,-8664.61
5,0,-3.3358,9.47804,581.101,-0,-0,-0,2404.9,-2669.67,-8661.13
5,1,-3.8788,9.52329,575.793,-0,-0,-0,2405.52,-2668.3,-8661.37
5,2,-3.26793,9.34229,578.229,-0,-0,-0,2407.31,-2664.53,-8667.62
5,3,-2.36294,9.99841,580.492,-0,-0,-0,2406.06,-2670.96,-8658.76
5,4,-2.86068,10.2925,579.535,-0,-0,-0,2407.6,-2668.1,-8660.89
6,0,-3.56205,10.2247,575.967,-0,-0,-0,2409.38,-2669.09,-8662.16
6,1,-3.29055,10.9487,576.924,-0,-0,-0,2405.52,-2669.09,-8662.63
6,2,-3.6073,11.7858,578.055,-0,-0,-0,2404.28,-2668.76,-8661.76
6,3,-3.01906,11.65,578.751,-0,-0,-0,2404.4,-2668.8,-8661.21
6,4,-3.67518,11.8763,572.312,-0,-0,-0,2403.62,-2668.97,-8665.01
7,0,-2.95118,11.7179,574.923,-0,-0,-0,2406.15,-2671.91,-8660.03
7,1,-2.54394,12.7813,575.706,-0,-0,-0,2406.56,-2670.04,-8663.03
7,2,-2.79281,12.1704,574.487,-0,-0,-0,2407.02,-2668.1,-8659.87
7,3,-2.52131,12.3966,573.704,-0,-0,-0,2408.3,-2668.63,-8660.34
7,4,-3.3358,12.2609,574.661,-0,-0,-0,2404.57,-2671.54,-8663.27
8,0,-3.49418,12.3061,572.573,-0,-0,-0,2405.9,-2669.3,-8664.61
8,1,-2.86068,12.6229,575.097,-0,-0,-0,2405.36,-2670.87,-8659.55
8,2,-3.40368,12.7586,569.875,-0,-0,-0,2404.24,-2672.28,-8659
8,3,-3.29055,12.8944,572.399,-0,-0,-0,2404.98,-2669.51,-8662.95
8,4,-3.08693,14.003,573.269,-0,-0,-0,2405.07,-2669.26,-8661.05
9,0,-3.15481,13.0528,570.224,-0,-0,-0,2406.15,-2669.42,-8663.82
9,1,-3.3358,13.7541,570.659,-0,-0,-0,2407.55,-2670.91,-8660.34
9,2,-3.35843,13.641,571.181,-0,-0,-0,2408.01,-2670.54,-8662.95
9,3,-3.7883,13.7541,568.396,-0,-0,-0,2405.19,-2669.3,-8659.47
9,4,-3.06431,14.2066,568.657,-0,-0,-0,2404.07,-2669.26,-8662.48
10,0,-3.40368,14.5686,571.529,-0,-0,-0,2407.85,-2668.76,-8662.32
10,1,-3.26793,14.3197,567.265,-0,-0,-0,2405.85,-2670.04,-8661.76
10,2,-2.99643,13.6636,568.657,-0,-0,-0,2406.6,-2669.67,-8660.42
10,3,-3.20006,14.365,569.963,-0,-0,-0,2404.9,-2669.17,-8662.79
10,4,-3.22268,15.0664,568.309,-0,-0,-0,2406.48,-2670.17,-8658.13
11,0,-4.19555,15.0437,566.83,-0,-0,-0,2404.94,-2669.05,-8661.69
11,1,-4.48967,15.1569,567.613,-0,-0,-0,2403.28,-2667.35,-8662.4
11,2,-4.48967,15.5641,564.654,-0,-0,-0,2406.39,-2670.04,-8663.11
11,3,-3.92405,14.908,563.784,-0,-0,-0,2407.39,-2669.63,-8662.55
11,4,-3.83355,14.4781,565.873,-0,-0,-0,2407.06,-2669.92,-8663.58
12,0,-4.03717,14.7949,567.265,-0,-0,-0,2403.04,-2672.2,-8661.76
12,1,-3.7883,15.8356,564.48,-0,-0,-0,2404.36,-2671.08,-8662.08
12,2,-4.58017,15.2926,565.35,-0,-0,-0,2403.78,-2669.63,-8662.71
12,3,-4.08242,15.7451,567.178,-0,-0,-0,2404.78,-2669.59,-8663.5
12,4,-3.67518,15.1116,565.176,-0,-0,-0,2407.97,-2669.26,-8664.06
13,0,-4.58017,15.3831,561.348,-0,-0,-0,2406.19,-2671.33,-8664.29
