Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,14.6719,-1.13631,723.964,-0,-0,-0,2405.23,-2669.34,-8662.4
1,1,13.2465,-2.56167,726.401,-0,-0,-0,2405.23,-2668.97,-8656.39
1,2,13.156,-2.1318,724.051,-0,-0,-0,2403.37,-2671.7,-8659.23
1,3,12.9976,-2.87842,723.616,-0,-0,-0,2405.23,-2669.67,-8659.95
1,4,12.1153,-2.72005,724.051,-0,-0,-0,2405.52,-2670.42,-8659.23
2,0,11.7307,-2.08655,721.789,-0,-0,-0,2405.73,-2671.04,-8663.5
2,1,10.8483,-2.33542,719.788,-0,-0,-0,2404.61,-2669.3,-8661.76
2,2,9.7623,-2.38067,719.962,-0,-0,-0,2405.4,-2669.17,-8660.74
2,3,9.10618,-2.72005,721.702,-0,-0,-0,2407.55,-2668.68,-8659.23
2,4,8.45006,-3.33092,717.96,-0,-0,-0,2404.86,-2667.47,-8665.64
3,0,8.08806,-2.5843,717.003,-0,-0,-0,2405.65,-2669.96,-8663.35
3,1,7.45456,-3.48929,718.134,-0,-0,-0,2405.56,-2669.34,-8662.16
3,2,7.00207,-3.12729,718.482,-0,-0,-0,2405.32,-2672.45,-8657.5
3,3,5.73508,-3.55717,715.959,-0,-0,-0,2406.93,-2670.17,-8657.1
3,4,5.30521,-3.96441,713.522,-0,-0,-0,2405.85,-2669.84,-8656.55
4,0,5.01108,-3.78341,714.218,-0,-0,-0,2405.56,-2669.46,-8664.85
4,1,3.74409,-4.05491,712.391,-0,-0,-0,2407.39,-2670.96,-8665.56
4,2,2.97485,-3.46667,712.217,-0,-0,-0,2405.65,-2669.51,-8666.67
4,3,1.52686,-3.73816,709.084,-0,-0,-0,2405.61,-2669.84,-8662.71
4,4,1.11961,-4.50741,709.519,-0,-0,-0,2406.35,-2669.71,-8660.1
5,0,0.440867,-4.89203,705.865,-0,-0,-0,2407.31,-2669.42,-8659.31
5,1,-0.373626,-4.23591,704.646,-0,-0,-0,2405.48,-2669.8,-8662.79
5,2,-1.75374,-4.34903,705.081,-0,-0,-0,2404.94,-2669.51,-8661.61
5,3,-2.18361,-4.82416,702.123,-0,-0,-0,2405.4,-2667.76,-8653.3
5,4,-3.29223,-4.98253,702.906,-0,-0,-0,2406.02,-2668.34,-8659.95
6,0,-3.85785,-5.36715,701.427,-0,-0,-0,2404.98,-2669.71,-8663.9
6,1,-4.49134,-5.07303,700.556,-0,-0,-0,2405.03,-2669.59,-8660.66
6,2,-5.59996,-5.1409,701.688,-0,-0,-0,2406.44,-2669.17,-8661.13
6,3,-6.4597,-4.57528,697.25,-0,-0,-0,2405.4,-2669.26,-8662.16
6,4,-7.13845,-5.70652,696.815,-0,-0,-0,2404.65,-2669.88,-8661.84
7,0,-7.65882,-5.18615,694.291,-0,-0,-0,2401.83,-2671.29,-8659.08
7,1,-8.45069,-5.45765,693.247,-0,-0,-0,2404.82,-2669.21,-8657.5
7,2,-9.42356,-5.3219,692.377,-0,-0,-0,2404.82,-2669.42,-8663.03
7,3,-9.87605,-5.61602,692.29,-0,-0,-0,2405.4,-2669.96,-8662
7,4,-11.2788,-5.88752,691.507,-0,-0,-0,2405.36,-2672.49,-8658.29
8,0,-12.1838,-5.43503,688.287,-0,-0,-0,2405.61,-2667.18,-8661.37
8,1,-12.2517,-6.54364,688.983,-0,-0,-0,2405.61,-2669.3,-8661.37
8,2,-13.3829,-5.11828,686.982,-0,-0,-0,2405.4,-2669.92,-8661.69
8,3,-14.4236,-5.79702,686.285,-0,-0,-0,2403.08,-2669.92,-8667.14
8,4,-15.1703,-6.02327,686.459,-0,-0,-0,2405.73,-2670.58,-8653.54
9,0,-15.668,-6.15902,684.458,-0,-0,-0,2405.48,-2669.22,-8663.82
9,1,-16.0753,-5.61602,685.241,-0,-0,-0,2404.24,-2670.29,-8658.84
9,2,-16.935,-6.58889,683.327,-0,-0,-0,2405.23,-2669.75,-8659.31
9,3,-17.8174,-6.38527,683.849,-0,-0,-0,2405.15,-2670.42,-8667.06
9,4,-18.2472,-6.11377,683.849,-0,-0,-0,2405.44,-2669.46,-8658.84
10,0,-19.5821,-6.15902,679.411,-0,-0,-0,2405.4,-2670.29,-8660.82
10,1,-19.9441,-6.67939,678.106,-0,-0,-0,2403.57,-2670.58,-8665.01
10,2,-20.193,-6.70202,679.672,-0,-0,-0,2405.15,-2669.22,-8664.14
10,3,-20.4645,-7.60701,679.846,-0,-0,-0,2405.23,-2669.67,-8661.13
10,4,-21.4826,-7.60701,678.889,-0,-0,-0,2400.96,-2670.67,-8664.77
11,0,-21.6636,-7.60701,676.191,-0,-0,-0,2406.52,-2672.08,-8656.94
11,1,-22.4781,-7.81063,678.802,-0,-0,-0,2405.19,-2671.16,-8659.39
11,2,-22.6817,-7.49389,676.017,-0,-0,-0,2404.98,-2668.84,-8661.21
11,3,-23.3605,-8.08213,677.41,-0,-0,-0,2404.86,-2667.35,-8661.92
11,4,-24.2428,-8.512,675.495,-0,-0,-0,2405.23,-2668.68,-8667.54
12,0,-24.3559,-8.4215,678.019,-0,-0,-0,2405.98,-2670,-8664.85
12,1,-24.5143,-9.03237,675.669,-0,-0,-0,2405.11,-2667.6,-8664.53
12,2,-25.2383,-9.417,677.932,-0,-0,-0,2406.97,-2668.22,-8668.33
12,3,-25.7134,-8.85137,675.495,-0,-0,-0,2405.69,-2669.59,-8662.79
12,4,-26.3696,-9.34912,674.625,-0,-0,-0,2405.44,-2668.84,-8657.65
13,0,-25.8718,-10.0052,675.147,-0,-0,-0,2405.48,-2671.16,-8659.39
13,1,-26.0981,-9.86949,672.449,-0,-0,-0,2405.69,-2668.84,-8661.29
13,2,-26.5732,-9.75637,671.144,-0,-0,-0,2405.9,-2670.29,-8666.27
13,3,-27.3424,-9.75637,672.972,-0,-0,-0,2404.57,-2670.91,-8662.95
13,4,-26.1207,-10.141,672.798,-0,-0,-0,2406.56,-2668.55,-8662.87
