Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,4.27921,-0.385889,747.475,-0,-0,-0,2407.02,-2672.28,-8657.26
1,1,4.91271,-0.227515,752.87,-0,-0,-0,2407.72,-2667.64,-8665.56
1,2,5.07108,-0.0691415,757.308,-0,-0,-0,2405.27,-2667.81,-8666.67
1,3,5.27471,1.53722,760.876,-0,-0,-0,2402.08,-2667.06,-8673.86
1,4,5.59145,1.49197,764.095,-0,-0,-0,2404.57,-2671.04,-8661.13
2,0,4.84483,2.05759,769.752,-0,-0,-0,2403.62,-2670.04,-8660.74
2,1,4.75434,2.39696,772.275,-0,-0,-0,2404.82,-2669.55,-8662
2,2,5.29733,2.82684,778.802,-0,-0,-0,2406.06,-2671.08,-8656.15
2,3,4.66384,3.23408,779.759,-0,-0,-0,2402.74,-2671.12,-8663.27
2,4,5.29733,3.59608,785.415,-0,-0,-0,2405.03,-2668.18,-8665.8
3,0,5.41046,4.6142,787.329,-0,-0,-0,2405.11,-2668.92,-8664.29
3,1,5.02583,4.5237,794.639,-0,-0,-0,2403.99,-2669.75,-8666.19
3,2,5.47833,4.93094,796.814,-0,-0,-0,2401.25,-2674.27,-8665.64
3,3,5.13896,5.54182,800.556,-0,-0,-0,2406.48,-2671.54,-8664.22
3,4,5.11633,6.42418,802.21,-0,-0,-0,2406.93,-2669.59,-8662.55
4,0,5.38783,6.06219,807.953,-0,-0,-0,2404.9,-2668.84,-8660.89
4,1,4.66384,6.53731,810.65,-0,-0,-0,2404.94,-2670.17,-8662.63
4,2,5.11633,6.87668,813.087,-0,-0,-0,2405.15,-2669.63,-8661.76
4,3,5.07108,7.82692,818.308,-0,-0,-0,2405.4,-2672.32,-8665.16
4,4,4.46021,7.73642,821.093,-0,-0,-0,2406.39,-2668.3,-8673.7
5,0,4.84483,8.05317,822.398,-0,-0,-0,2405.69,-2668.72,-8663.19
5,1,4.70909,7.9853,827.532,-0,-0,-0,2406.27,-2669.55,-8662.79
5,2,5.09371,8.79979,830.491,-0,-0,-0,2404.98,-2671.41,-8662.87
5,3,4.68646,9.18441,831.013,-0,-0,-0,2403.45,-2669.51,-8658.92
5,4,3.87197,9.07129,838.235,-0,-0,-0,2405.36,-2670.29,-8662.08
6,0,3.80409,9.75003,841.281,-0,-0,-0,2405.81,-2670.33,-8662.16
6,1,4.64121,9.84053,844.501,-0,-0,-0,2405.61,-2671.62,-8663.66
6,2,3.82672,11.3564,847.807,-0,-0,-0,2405.81,-2670.04,-8661.53
6,3,3.69097,11.1754,851.375,-0,-0,-0,2404.86,-2669.92,-8665.24
6,4,3.73622,12.4876,851.375,-0,-0,-0,2406.52,-2669.01,-8668.17
7,0,3.91722,12.5103,855.291,-0,-0,-0,2403.86,-2668.26,-8665.4
7,1,3.1706,12.5781,859.468,-0,-0,-0,2404.9,-2668.88,-8662.95
7,2,3.48735,13.5963,860.773,-0,-0,-0,2406.48,-2669.21,-8663.66
7,3,3.32897,13.9583,862.949,-0,-0,-0,2406.02,-2669.05,-8662.32
7,4,3.4421,13.8678,865.907,-0,-0,-0,2406.93,-2666.19,-8668.8
8,0,3.3516,15.361,867.125,-0,-0,-0,2405.36,-2671.21,-8660.89
8,1,3.73622,15.7456,870.693,-0,-0,-0,2403.37,-2672.28,-8663.42
8,2,3.4421,15.4515,873.739,-0,-0,-0,2403.2,-2670.46,-8670.46
8,3,3.03485,16.0624,875.305,-0,-0,-0,2404.32,-2669.46,-8663.98
8,4,3.87197,16.8769,875.392,-0,-0,-0,2405.61,-2667.97,-8663.34
9,0,4.25659,17.0805,878.612,-0,-0,-0,2407.18,-2670,-8662.32
9,1,3.78147,17.4198,878.612,-0,-0,-0,2405.94,-2668.3,-8667.54
9,2,3.21585,18.2117,878.873,-0,-0,-0,2404.74,-2669.13,-8663.98
9,3,3.62309,17.9402,879.83,-0,-0,-0,2405.73,-2670.25,-8663.5
9,4,3.10272,17.533,882.006,-0,-0,-0,2406.73,-2666.73,-8669.12
10,0,3.23847,17.8723,881.222,-0,-0,-0,2405.69,-2668.39,-8661.61
10,1,3.0801,17.6461,882.354,-0,-0,-0,2405.19,-2669.51,-8662.79
10,2,2.6276,18.8678,881.658,-0,-0,-0,2404.65,-2669.55,-8665.08
10,3,3.10272,19.1393,881.919,-0,-0,-0,2407.22,-2670.46,-8661.61
10,4,2.58235,19.0715,884.268,-0,-0,-0,2409.21,-2668.92,-8662.08
11,0,2.65023,19.0941,884.181,-0,-0,-0,2408.14,-2669.38,-8664.37
11,1,2.40135,19.2072,882.876,-0,-0,-0,2407.18,-2670.04,-8661.92
11,2,2.85385,19.3656,884.529,-0,-0,-0,2406.52,-2670.13,-8664.61
11,3,1.99411,19.4335,881.745,-0,-0,-0,2405.52,-2669.38,-8663.42
11,4,2.65023,18.9131,884.181,-0,-0,-0,2404.65,-2669.59,-8663.11
12,0,2.03936,19.5918,881.658,-0,-0,-0,2402.08,-2670.21,-8664.61
12,1,2.3561,18.9131,882.789,-0,-0,-0,2404.49,-2668.8,-8669.43
12,2,2.10723,19.0488,880.526,-0,-0,-0,2405.9,-2669.05,-8664.29
12,3,2.51448,19.1393,881.484,-0,-0,-0,2405.4,-2669.3,-8663.27
12,4,2.2656,19.2072,880.787,-0,-0,-0,2405.03,-2670.42,-8661.61
13,0,2.28823,19.2751,880.439,-0,-0,-0,2405.61,-2673.24,-8660.74
13,1,2.2656,18.438,876.436,-0,-0,-0,2407.89,-2669.8,-8661.92
13,2,1.58686,19.0262,878.264,-0,-0,-0,2406.52,-2669.17,-8661.92
13,3,1.97148,19.524,876.262,-0,-0,-0,2406.6,-2668.51,-8667.93
13,4,1.92623,18.8905,874.87,-0,-0,-0,2404.69,-2667.22,-8660.03
14,0,1.79048,18.8678,871.302,-0,-0,-0,2403.24,-2668.59,-8663.03
14,1,1.49636,19.0262,871.824,-0,-0,-0,2404.24,-2669.92,-8661.68
14,2,1.97148,18.5737,870.171,-0,-0,-0,2403.7,-2669.84,-8663.42
14,3,2.22036,18.5511,867.299,-0,-0,-0,2405.27,-2669.88,-8662.95
14,4,1.31536,18.5058,868.779,-0,-0,-0,2406.19,-2669.67,-8662.63
15,0,1.85836,18.2117,865.472,-0,-0,-0,2405.94,-2670.17,-8662.4
15,1,2.3561,18.1438,861.034,-0,-0,-0,2405.4,-2669.51,-8664.69
15,2,1.58686,17.7592,860.947,-0,-0,-0,2405.81,-2669.59,-8663.11
15,3,1.49636,17.352,861.121,-0,-0,-0,2405.07,-2669.63,-8664.61
15,4,1.79048,16.2886,859.555,-0,-0,-0,2405.94,-2666.69,-8669.35
16,0,1.67736,17.1257,857.815,-0,-0,-0,2405.85,-2670.71,-8661.53
16,1,1.42849,16.9674,855.987,-0,-0,-0,2405.73,-2669.22,-8665.48
16,2,1.20224,16.5601,853.812,-0,-0,-0,2404.94,-2669.75,-8663.5
16,3,1.08911,16.1529,854.073,-0,-0,-0,2403.74,-2671.04,-8662.79
16,4,1.11174,16.1529,849.374,-0,-0,-0,2405.11,-2668.92,-8662.79
17,0,1.47374,15.7909,846.937,-0,-0,-0,2405.52,-2669.21,-8660.1
17,1,1.20224,15.2252,848.416,-0,-0,-0,2404.28,-2669.34,-8663.03
17,2,1.33799,15.0669,846.328,-0,-0,-0,2404.36,-2669.51,-8659.79
17,3,1.67736,14.5691,843.108,-0,-0,-0,2404.9,-2669.26,-8662.71
17,4,0.953365,14.7275,842.325,-0,-0,-0,2405.61,-2669.26,-8664.37
18,0,0.772366,14.5465,838.496,-0,-0,-0,2408.01,-2668.63,-8661.37
18,1,1.17961,14.4786,837.104,-0,-0,-0,2404.49,-2670.13,-8659.39
18,2,0.704492,13.8904,833.797,-0,-0,-0,2405.85,-2670,-8664.21
18,3,1.38324,14.094,831.796,-0,-0,-0,2405.85,-2669.71,-8663.03
18,4,1.42849,14.3429,829.272,-0,-0,-0,2403.33,-2670.04,-8662.63
19,0,1.22486,14.3429,825.444,-0,-0,-0,2404.82,-2671.04,-8661.37
19,1,1.04386,14.3429,825.095,-0,-0,-0,2405.73,-2669.55,-8665.88
19,2,0.840241,14.5012,823.703,-0,-0,-0,2406.52,-2669.51,-8661.68
19,3,1.04386,14.6596,818.83,-0,-0,-0,2406.31,-2670.17,-8664.69
19,4,1.04386,14.1166,816.22,-0,-0,-0,2405.15,-2671.12,-8657.97
20,0,0.93074,14.1392,812.217,-0,-0,-0,2405.69,-2668.59,-8658.84
20,1,1.08911,13.8904,810.389,-0,-0,-0,2405.94,-2669.46,-8662.71
20,2,1.02124,14.0714,809.78,-0,-0,-0,2405.44,-2669.46,-8664.29
20,3,0.613992,13.7773,806.212,-0,-0,-0,2406.1,-2669.51,-8671.33
20,4,0.97599,14.2524,803.254,-0,-0,-0,2408.43,-2669.34,-8658.84
21,0,1.56423,14.2524,798.729,-0,-0,-0,2405.52,-2669.88,-8661.69
21,1,1.51899,14.2524,797.424,-0,-0,-0,2405.52,-2669.46,-8663.27
21,2,0.97599,14.818,795.422,-0,-0,-0,2399.51,-2669.59,-8670.3
21,3,1.33799,14.9085,794.9,-0,-0,-0,2403.74,-2669.88,-8667.3
21,4,0.478243,14.6822,790.375,-0,-0,-0,2405.15,-2669.51,-8663.11
22,0,1.20224,15.3836,789.679,-0,-0,-0,2405.23,-2668.92,-8663.03
22,1,1.56423,14.3655,785.241,-0,-0,-0,2408.14,-2665.44,-8665.08
22,2,1.58686,15.5872,786.285,-0,-0,-0,2403.45,-2670.92,-8659.31
22,3,1.67736,15.2252,784.98,-0,-0,-0,2405.52,-2669.38,-8661.61
22,4,1.85836,14.7049,782.282,-0,-0,-0,2409.17,-2668.88,-8662.48
23,0,2.22036,15.6099,777.496,-0,-0,-0,2405.94,-2670.54,-8665.32
23,1,1.92623,15.9719,776.017,-0,-0,-0,2405.9,-2669.51,-8664.69
23,2,2.8086,16.1529,771.84,-0,-0,-0,2405.32,-2669.26,-8663.42
23,3,2.22036,16.5601,770.535,-0,-0,-0,2405.52,-2665.81,-8667.06
23,4,2.3561,17.0352,769.578,-0,-0,-0,2402.37,-2671.37,-8664.53
24,0,3.4421,16.7185,768.707,-0,-0,-0,2405.23,-2668.97,-8663.58
24,1,2.8086,17.1484,761.746,-0,-0,-0,2405.61,-2669.96,-8660.58
24,2,3.2611,17.8497,760.267,-0,-0,-0,2404.86,-2668.88,-8658.29
24,3,3.50997,17.9402,760.702,-0,-0,-0,2404.78,-2668.72,-8669.35
24,4,3.28372,18.0986,756.873,-0,-0,-0,2406.1,-2669.8,-8658.76
25,0,3.89459,18.0533,753.74,-0,-0,-0,2406.89,-2669.09,-8659.63
25,1,4.00772,18.3248,752.435,-0,-0,-0,2404.78,-2670,-8660.5
25,2,3.73622,18.6642,752,-0,-0,-0,2405.23,-2668.92,-8664.37
25,3,4.32446,18.7547,746.605,-0,-0,-0,2405.23,-2669.51,-8663.74
