Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,13.1649,-15.8328,1084.72,-0,-0,-0,2408.43,-2669.13,-8662.32
1,1,13.097,-16.1948,1083.25,-0,-0,-0,2407.89,-2671.37,-8659.08
1,2,11.9658,-15.2219,1082.03,-0,-0,-0,2405.23,-2670.42,-8660.34
1,3,12.916,-15.2219,1083.77,-0,-0,-0,2405.19,-2669.71,-8660.58
1,4,11.3097,-15.2898,1085.86,-0,-0,-0,2404.69,-2669.17,-8661.92
2,0,11.7848,-15.4481,1085.68,-0,-0,-0,2401.79,-2670.54,-8665.64
2,1,11.7169,-15.4481,1087.94,-0,-0,-0,2406.85,-2668.43,-8663.5
2,2,11.4907,-15.7875,1089.86,-0,-0,-0,2406.97,-2669.13,-8661.05
2,3,11.649,-15.1993,1089.86,-0,-0,-0,2406.52,-2669.67,-8662
2,4,11.3549,-14.8599,1087.51,-0,-0,-0,2405.69,-2671.62,-8663.58
3,0,10.8798,-15.7423,1090.9,-0,-0,-0,2406.85,-2669.84,-8663.58
3,1,11.0834,-15.6518,1093.43,-0,-0,-0,2408.05,-2669.26,-8662.87
3,2,10.9477,-14.5205,1089.77,-0,-0,-0,2406.31,-2670,-8660.66
3,3,11.1287,-15.4481,1093.08,-0,-0,-0,2407.22,-2667.56,-8660.03
3,4,10.6535,-15.4934,1092.47,-0,-0,-0,2404.98,-2670.21,-8662.16
4,0,10.4273,-15.154,1090.56,-0,-0,-0,2404.65,-2669.42,-8662.4
4,1,10.8119,-15.335,1095.95,-0,-0,-0,2405.73,-2669.22,-8656.63
4,2,10.9024,-15.0635,1097.26,-0,-0,-0,2404.98,-2671.08,-8662.16
4,3,11.2644,-15.3124,1097.86,-0,-0,-0,2406.85,-2669.71,-8662.32
4,4,10.563,-15.4481,1096.47,-0,-0,-0,2405.4,-2670.83,-8662.16
5,0,10.1558,-14.8599,1100.65,-0,-0,-0,2408.38,-2669.05,-8659.55
5,1,10.3142,-15.1993,1099.34,-0,-0,-0,2405.11,-2668.63,-8662.32
5,2,10.6535,-15.4934,1100.04,-0,-0,-0,2404.11,-2669.26,-8662.95
5,3,10.7893,-14.973,1101.69,-0,-0,-0,2405.03,-2666.77,-8657.89
5,4,10.6083,-14.8373,1099.95,-0,-0,-0,2404.24,-2670.25,-8662.95
6,0,9.79379,-15.3124,1100.3,-0,-0,-0,2406.06,-2669.63,-8662.24
6,1,10.6083,-15.1766,1102.56,-0,-0,-0,2405.48,-2670.29,-8659.79
6,2,10.4499,-15.2898,1101,-0,-0,-0,2405.77,-2671.25,-8661.76
6,3,10.744,-14.8373,1103.78,-0,-0,-0,2405.36,-2669.84,-8660.89
6,4,11.1739,-15.335,1102.39,-0,-0,-0,2405.19,-2668.8,-8659.23
7,0,10.7667,-15.516,1104.13,-0,-0,-0,2406.89,-2668.76,-8658.21
7,1,10.5857,-15.4255,1107.78,-0,-0,-0,2403.53,-2670.33,-8658.76
7,2,10.7893,-15.5386,1105.44,-0,-0,-0,2404.78,-2668.97,-8663.82
7,3,10.6762,-15.1993,1106.91,-0,-0,-0,2405.9,-2669.21,-8663.42
7,4,10.5404,-15.3803,1106.74,-0,-0,-0,2405.36,-2668.1,-8665.96
8,0,10.6535,-15.1766,1104.22,-0,-0,-0,2405.56,-2670.04,-8663.66
8,1,11.0608,-15.5613,1106.31,-0,-0,-0,2404.9,-2669.92,-8662.32
8,2,10.8798,-15.6518,1107.7,-0,-0,-0,2401,-2671.12,-8665.16
8,3,11.4907,-15.5386,1108.22,-0,-0,-0,2406.15,-2668.72,-8659.31
8,4,10.5857,-15.2898,1105.87,-0,-0,-0,2406.35,-2669.67,-8662.32
9,0,11.3549,-15.9459,1110.57,-0,-0,-0,2406.52,-2669.34,-8660.66
9,1,11.1739,-16.3531,1107.7,-0,-0,-0,2405.4,-2665.4,-8665.32
9,2,11.3323,-16.1948,1109.09,-0,-0,-0,2407.47,-2669.17,-8659.23
9,3,10.9929,-15.6518,1108.48,-0,-0,-0,2405.23,-2669.09,-8662.32
9,4,10.5178,-16.7604,1109.61,-0,-0,-0,2406.06,-2670.04,-8659.95
10,0,10.8119,-15.9685,1107.26,-0,-0,-0,2403.91,-2668.05,-8662.71
10,1,10.4273,-16.24,1107.52,-0,-0,-0,2405.19,-2669.63,-8661.76
10,2,10.9024,-16.24,1109,-0,-0,-0,2405.15,-2669.75,-8661.05
10,3,10.8798,-16.7604,1106.74,-0,-0,-0,2406.44,-2669.42,-8664.06
10,4,11.1513,-16.3984,1110.4,-0,-0,-0,2406.73,-2669.26,-8661.05
11,0,11.3549,-18.0726,1109.44,-0,-0,-0,2405.44,-2669.01,-8662.55
11,1,10.7214,-16.3531,1106.65,-0,-0,-0,2405.77,-2669.51,-8663.98
11,2,10.563,-17.1903,1109.18,-0,-0,-0,2403.41,-2669.51,-8665.96
11,3,11.4907,-17.4391,1111.44,-0,-0,-0,2405.61,-2668.05,-8663.9
11,4,10.201,-15.6744,1111.09,-0,-0,-0,2405.69,-2669.21,-8661.21
12,0,10.9477,-17.8011,1111.96,-0,-0,-0,2408.67,-2668.59,-8661.45
12,1,10.8345,-16.6925,1107.26,-0,-0,-0,2404.9,-2668.14,-8665.32
12,2,10.1105,-16.4663,1109.35,-0,-0,-0,2405.4,-2669.55,-8662.24
12,3,10.4273,-16.7151,1109.53,-0,-0,-0,2405.61,-2669.17,-8661.84
12,4,11.2418,-17.6427,1106.57,-0,-0,-0,2403.28,-2670.17,-8668.41
13,0,10.8345,-16.8056,1106.91,-0,-0,-0,2405.73,-2669.84,-8661.37
13,1,10.0879,-16.8509,1113.7,-0,-0,-0,2405.61,-2669.8,-8662.71
13,2,10.2463,-16.9188,1111.27,-0,-0,-0,2407.89,-2666.06,-8666.67
13,3,10.0879,-17.5296,1111.7,-0,-0,-0,2405.52,-2668.01,-8659.55
13,4,10.3368,-17.2581,1109.61,-0,-0,-0,2406.02,-2669.88,-8661.61
14,0,10.4499,-18.1179,1112.22,-0,-0,-0,2405.73,-2670.04,-8660.02
14,1,9.74854,-17.1224,1111.18,-0,-0,-0,2403.99,-2665.9,-8664.53
14,2,9.95216,-16.9414,1107.09,-0,-0,-0,2405.19,-2669.13,-8664.45
14,3,9.81641,-16.9188,1113.96,-0,-0,-0,2405.23,-2669.84,-8659.39
14,4,10.0427,-17.7785,1110.13,-0,-0,-0,2404.69,-2668.1,-8661.68
15,0,10.4047,-16.9188,1113.88,-0,-0,-0,2405.32,-2669.55,-8662.87
15,1,9.79379,-17.688,1113.01,-0,-0,-0,2405.27,-2669.59,-8664.93
15,2,9.79379,-17.3486,1113.09,-0,-0,-0,2405.94,-2669.84,-8661.29
15,3,9.27342,-17.2129,1113.96,-0,-0,-0,2406.48,-2669.13,-8662.87
15,4,9.18292,-17.869,1111.96,-0,-0,-0,2405.69,-2670.87,-8663.34
16,0,9.36392,-17.7559,1109.7,-0,-0,-0,2405.15,-2669.38,-8662.32
16,1,8.7983,-18.05,1112.66,-0,-0,-0,2404.9,-2669.46,-8662.48
16,2,8.7078,-17.4844,1112.31,-0,-0,-0,2402.5,-2671.37,-8672.75
16,3,9.27342,-18.7514,1113.35,-0,-0,-0,2404.36,-2668.26,-8664.77
16,4,7.66706,-18.05,1113.27,-0,-0,-0,2405.56,-2669.46,-8663.27
17,0,7.68968,-18.0952,1111.44,-0,-0,-0,2405.9,-2669.96,-8662.79
17,1,8.4363,-18.3215,1112.22,-0,-0,-0,2407.26,-2669.71,-8666.75
17,2,8.09693,-17.869,1112.83,-0,-0,-0,2407.06,-2668.88,-8664.14
17,3,8.05168,-17.8464,1114.14,-0,-0,-0,2404.98,-2669.09,-8660.82
17,4,7.53131,-18.0726,1111.61,-0,-0,-0,2405.07,-2669.05,-8663.42
18,0,7.8028,-19.0455,1114.92,-0,-0,-0,2405.4,-2667.56,-8663.58
18,1,7.44081,-18.0274,1115.01,-0,-0,-0,2404.69,-2668.97,-8661.53
18,2,7.10143,-18.4346,1114.57,-0,-0,-0,2404.74,-2669.05,-8662.08
18,3,6.85256,-17.8916,1116.75,-0,-0,-0,2405.94,-2668.97,-8663.03
18,4,7.55393,-17.7559,1115.62,-0,-0,-0,2405.19,-2667.85,-8662.95
19,0,6.37744,-18.231,1113.27,-0,-0,-0,2406.1,-2669.01,-8656.63
19,1,5.76657,-17.6654,1113.96,-0,-0,-0,2405.61,-2669.55,-8659.55
19,2,6.24169,-18.3667,1115.62,-0,-0,-0,2405.52,-2668.88,-8662.08
19,3,7.03356,-17.9595,1112.74,-0,-0,-0,2407.68,-2668.68,-8664.53
19,4,6.33219,-17.6201,1116.57,-0,-0,-0,2405.11,-2671.04,-8659.08
20,0,6.55844,-17.7785,1113.61,-0,-0,-0,2405.19,-2669.55,-8661.84
20,1,5.0652,-17.7106,1113.96,-0,-0,-0,2401.38,-2670.25,-8668.56
20,2,5.72132,-17.326,1115.09,-0,-0,-0,2405.19,-2669.05,-8663.27
20,3,4.95208,-17.8011,1112.83,-0,-0,-0,2405.4,-2669.63,-8660.89
20,4,5.47245,-17.2129,1113.18,-0,-0,-0,2404.36,-2670.42,-8660.18
21,0,5.29145,-17.4391,1115.88,-0,-0,-0,2405.81,-2669.88,-8660.34
21,1,4.22808,-16.8056,1111.09,-0,-0,-0,2405.73,-2669.8,-8663.19
21,2,4.86158,-17.3486,1111,-0,-0,-0,2405.73,-2669.42,-8664.53
21,3,4.95208,-16.6246,1111.96,-0,-0,-0,2406.39,-2669.51,-8663.03
21,4,4.49958,-16.4436,1112.57,-0,-0,-0,2404.57,-2669.71,-8658.13
22,0,4.45433,-16.5115,1111.96,-0,-0,-0,2405.65,-2669.17,-8660.42
22,1,4.22808,-16.8961,1114.57,-0,-0,-0,2405.44,-2668.18,-8663.82
22,2,3.52671,-17.1224,1109.87,-0,-0,-0,2407.18,-2668.26,-8659.79
22,3,2.80272,-17.4618,1111.27,-0,-0,-0,2405.15,-2669.21,-8660.97
22,4,2.98372,-16.8735,1111.7,-0,-0,-0,2404.74,-2669.51,-8658.6
23,0,3.16472,-17.7332,1111.18,-0,-0,-0,2404.07,-2669.26,-8658.29
23,1,2.62172,-16.9188,1107.78,-0,-0,-0,2404.36,-2668.72,-8668.88
23,2,2.73484,-16.3531,1111.7,-0,-0,-0,2405.48,-2670.04,-8664.61
23,3,1.58098,-16.5115,1108.66,-0,-0,-0,2405.61,-2669.17,-8662.71
