Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,9.07314,-4.07889,676.961,-0,-0,-0,2405.19,-2668.39,-8661.29
1,1,10.0234,-2.24628,677.658,-0,-0,-0,2404.74,-2670.17,-8662.95
1,2,10.0686,-3.51327,675.656,-0,-0,-0,2404.94,-2669.21,-8659.23
1,3,9.20889,-2.9929,677.745,-0,-0,-0,2406.68,-2669.38,-8663.66
1,4,9.32202,-2.54041,675.569,-0,-0,-0,2405.27,-2669.51,-8661.69
2,0,9.75189,-2.92503,675.83,-0,-0,-0,2403.82,-2670.54,-8660.66
2,1,9.57089,-2.9024,676.178,-0,-0,-0,2405.48,-2669.26,-8666.11
2,2,9.61614,-3.73952,676.526,-0,-0,-0,2405.4,-2669.59,-8663.98
2,3,9.27677,-3.1739,675.83,-0,-0,-0,2406.15,-2669.88,-8662.24
2,4,10.4306,-2.94765,676.352,-0,-0,-0,2406.1,-2668.76,-8660.58
3,0,9.16364,-2.35941,678.267,-0,-0,-0,2405.15,-2668.63,-8663.9
3,1,9.75189,-2.56303,677.222,-0,-0,-0,2405.11,-2669.8,-8663.66
3,2,9.09577,-2.06528,677.919,-0,-0,-0,2404.44,-2670.21,-8662.55
3,3,9.43514,-2.42728,679.137,-0,-0,-0,2405.56,-2669.17,-8670.7
3,4,9.48039,-2.74403,676.265,-0,-0,-0,2405.03,-2670.04,-8662.08
4,0,9.59351,-2.49516,673.046,-0,-0,-0,2406.15,-2669.3,-8663.74
4,1,9.91026,-2.42728,676.352,-0,-0,-0,2407.06,-2670,-8667.14
4,2,9.77451,-2.06528,676.526,-0,-0,-0,2405.85,-2668.76,-8661.45
4,3,8.8469,-2.42728,674.09,-0,-0,-0,2405.36,-2669.67,-8662.32
4,4,9.79714,-2.44991,676.004,-0,-0,-0,2404.98,-2669.3,-8660.1
5,0,10.0234,-1.97479,674.786,-0,-0,-0,2405.15,-2665.52,-8665.95
5,1,9.93289,-1.45441,676.352,-0,-0,-0,2405.11,-2669.09,-8662.4
5,2,9.41252,-1.34129,674.699,-0,-0,-0,2405.44,-2669.55,-8662.95
5,3,9.05052,-1.59016,674.96,-0,-0,-0,2405.4,-2669.17,-8663.74
5,4,9.72926,-0.300548,672.958,-0,-0,-0,2407.06,-2671.25,-8660.03
6,0,9.59351,-0.0743001,671.827,-0,-0,-0,2405.32,-2669.3,-8660.89
6,1,9.72926,-1.18292,673.916,-0,-0,-0,2404.36,-2669.96,-8661.45
6,2,9.63876,-0.77567,674.873,-0,-0,-0,2407.1,-2669.01,-8663.19
6,3,10.0913,0.53657,675.656,-0,-0,-0,2405.48,-2669.96,-8663.74
6,4,9.68401,0.242448,672.698,-0,-0,-0,2406.44,-2670.17,-8666.27
7,0,9.61614,-0.0290504,673.481,-0,-0,-0,2407.43,-2670.83,-8657.5
7,1,8.80165,0.672319,675.308,-0,-0,-0,2404.94,-2670.79,-8671.88
7,2,9.84239,0.491321,673.394,-0,-0,-0,2405.77,-2670,-8658.6
7,3,9.79714,0.287697,673.742,-0,-0,-0,2406.15,-2669.67,-8662.08
7,4,9.93289,1.01169,674.786,-0,-0,-0,2405.48,-2668.14,-8658.29
8,0,9.57089,0.53657,673.133,-0,-0,-0,2405.56,-2670.09,-8662.63
8,1,9.77451,1.75831,675.308,-0,-0,-0,2405.4,-2670.21,-8664.45
8,2,9.45777,0.830693,672.698,-0,-0,-0,2404.82,-2670.04,-8660.26
8,3,9.68401,1.17007,677.135,-0,-0,-0,2405.27,-2669.38,-8653.46
8,4,9.63876,0.740194,673.394,-0,-0,-0,2405.27,-2669.01,-8659.79
9,0,9.72926,0.694944,673.568,-0,-0,-0,2404.28,-2667.6,-8662.71
9,1,9.70664,1.03432,674.96,-0,-0,-0,2405.94,-2669.38,-8660.66
9,2,9.72926,1.03432,674.612,-0,-0,-0,2404.69,-2669.13,-8668.09
9,3,9.84239,0.989067,673.742,-0,-0,-0,2405.44,-2669.3,-8667.61
9,4,10.1591,0.649694,679.311,-0,-0,-0,2404.61,-2670.38,-8664.45
10,0,9.84239,0.785443,673.916,-0,-0,-0,2406.31,-2669.09,-8669.67
10,1,10.3854,1.03432,672.958,-0,-0,-0,2404.98,-2669.22,-8665.01
10,2,9.43514,0.287697,675.83,-0,-0,-0,2406.02,-2668.97,-8664.06
10,3,9.23152,0.943817,671.827,-0,-0,-0,2405.32,-2672.2,-8660.1
10,4,9.16364,0.378196,675.395,-0,-0,-0,2407.97,-2671.04,-8666.27
11,0,10.1139,1.19269,673.742,-0,-0,-0,2405.52,-2668.88,-8665.01
11,1,9.20889,1.48681,675.134,-0,-0,-0,2406.52,-2668.14,-8664.14
11,2,9.68401,0.740194,673.481,-0,-0,-0,2403.57,-2669.09,-8660.66
11,3,9.43514,0.830693,674.525,-0,-0,-0,2405.85,-2668.68,-8661.05
11,4,9.48039,1.10219,676.7,-0,-0,-0,2405.77,-2669.88,-8663.82
12,0,9.11839,0.785443,674.003,-0,-0,-0,2405.52,-2671.37,-8659.95
12,1,9.00527,0.740194,674.96,-0,-0,-0,2406.97,-2671.62,-8659.39
12,2,9.54826,1.12482,676.787,-0,-0,-0,2404.94,-2669.42,-8660.74
12,3,10.1591,1.12482,678.006,-0,-0,-0,2405.36,-2669.34,-8664.14
12,4,10.0686,1.53206,676.439,-0,-0,-0,2407.1,-2669.88,-8653.3
13,0,9.25414,0.762819,674.525,-0,-0,-0,2402.99,-2671.21,-8652.28
13,1,9.23152,0.378196,672.436,-0,-0,-0,2405.4,-2669.42,-8661.69
13,2,9.75189,0.491321,677.658,-0,-0,-0,2405.48,-2669.59,-8658.29
13,3,9.36727,0.197198,674.003,-0,-0,-0,2407.68,-2668.22,-8657.42
13,4,9.70664,0.446071,676.352,-0,-0,-0,2405.36,-2669.34,-8660.02
14,0,9.25414,0.468696,674.786,-0,-0,-0,2405.48,-2669.67,-8659.71
