Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,2.06696,-7.35786,587.785,-0,-0,-0,2405.11,-2672.08,-8658.36
1,1,2.58733,-7.99136,589.264,-0,-0,-0,2407.14,-2671.87,-8652.99
1,2,2.60995,-7.85561,590.308,-0,-0,-0,2401.83,-2670.21,-8651.25
1,3,2.27058,-7.47099,591.614,-0,-0,-0,2405.15,-2667.14,-8660.18
1,4,1.72759,-7.49361,588.481,-0,-0,-0,2404.9,-2667.8,-8662.87
2,0,2.85883,-8.12711,590.569,-0,-0,-0,2404.82,-2665.86,-8660.26
2,1,2.7457,-8.01398,589.786,-0,-0,-0,2405.69,-2668.76,-8661.53
2,2,2.51945,-8.21761,590.482,-0,-0,-0,2405.23,-2669.8,-8662.08
2,3,2.88145,-7.74249,592.832,-0,-0,-0,2406.15,-2669.84,-8660.82
2,4,1.97646,-7.40311,588.655,-0,-0,-0,2405.15,-2668.8,-8659.71
3,0,2.90408,-7.74249,588.568,-0,-0,-0,2405.52,-2671.58,-8659.79
3,1,2.7457,-7.76511,593.267,-0,-0,-0,2405.19,-2669.55,-8655.91
3,2,2.31583,-8.33073,591.527,-0,-0,-0,2404.94,-2664.41,-8660.1
3,3,2.51945,-8.08186,593.963,-0,-0,-0,2405.9,-2670.42,-8662.08
3,4,2.04433,-7.96873,591.091,-0,-0,-0,2404.4,-2668.76,-8663.19
4,0,1.99908,-8.33073,596.487,-0,-0,-0,2405.4,-2671.37,-8660.42
4,1,2.22533,-8.37598,593.789,-0,-0,-0,2404.86,-2670.91,-8663.74
4,2,2.20271,-8.55698,594.485,-0,-0,-0,2406.15,-2668.63,-8667.61
4,3,2.70045,-7.83299,589.873,-0,-0,-0,2405.94,-2669.26,-8660.26
4,4,2.18008,-8.7606,594.05,-0,-0,-0,2405.07,-2668.72,-8661.13
5,0,1.02622,-9.19048,594.224,-0,-0,-0,2405.56,-2667.6,-8662.55
5,1,1.54659,-8.42123,596.748,-0,-0,-0,2404.78,-2669.05,-8664.14
5,2,1.95383,-9.05473,595.181,-0,-0,-0,2406.1,-2670.25,-8663.03
5,3,1.77284,-8.98685,595.877,-0,-0,-0,2407.51,-2670,-8657.5
5,4,2.11221,-8.91898,594.05,-0,-0,-0,2406.6,-2667.02,-8664.53
6,0,1.45609,-9.37148,595.268,-0,-0,-0,2405.44,-2667.8,-8659.55
6,1,1.90858,-8.98685,595.094,-0,-0,-0,2403.74,-2666.77,-8663.66
6,2,1.99908,-9.25835,595.964,-0,-0,-0,2406.23,-2669.13,-8667.69
6,3,1.09409,-9.50722,598.575,-0,-0,-0,2404.69,-2669.46,-8664.14
6,4,1.34296,-9.00948,597.618,-0,-0,-0,2403.91,-2670.25,-8663.42
7,0,1.25246,-8.98685,596.226,-0,-0,-0,2404.9,-2669.71,-8668.72
7,1,1.00359,-9.09998,597.27,-0,-0,-0,2405.56,-2664.16,-8661.53
7,2,0.732094,-9.1226,597.531,-0,-0,-0,2408.8,-2669.05,-8657.81
7,3,1.61446,-9.19048,596.487,-0,-0,-0,2409.67,-2668.22,-8661.21
7,4,1.04884,-9.6656,598.14,-0,-0,-0,2405.56,-2668.8,-8669.43
8,0,1.68234,-9.52985,598.662,-0,-0,-0,2405.11,-2669.13,-8659.87
8,1,1.09409,-9.05473,600.402,-0,-0,-0,2404.11,-2669.88,-8660.89
8,2,1.00359,-10.0728,601.186,-0,-0,-0,2404.94,-2668.92,-8662.48
8,3,1.72759,-9.1226,598.053,-0,-0,-0,2406.85,-2669.59,-8658.44
8,4,1.32034,-9.14523,601.795,-0,-0,-0,2406.1,-2670.17,-8663.42
9,0,1.22984,-9.50722,600.75,-0,-0,-0,2404.69,-2669.59,-8658.84
9,1,0.890467,-9.05473,602.23,-0,-0,-0,2405.48,-2669.75,-8663.82
9,2,1.04884,-10.1633,601.186,-0,-0,-0,2404.07,-2669.01,-8666.43
