Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,6.77939,8.32087,743.346,-0,-0,-0,2405.19,-2669.92,-8662.87
1,1,7.34501,7.41588,743.781,-0,-0,-0,2405.4,-2668.51,-8662.55
1,2,6.55314,7.46113,745.174,-0,-0,-0,2407.39,-2669.42,-8657.5
1,3,5.89703,7.55162,741.345,-0,-0,-0,2405.15,-2670.04,-8662.48
1,4,7.23189,7.41588,744.217,-0,-0,-0,2405.07,-2668.18,-8662.08
2,0,5.55765,7.84575,744.739,-0,-0,-0,2404.69,-2668.76,-8663.03
2,1,6.1459,6.75976,746.827,-0,-0,-0,2404.36,-2670.04,-8664.45
2,2,5.44453,6.85026,744.478,-0,-0,-0,2404.32,-2670.58,-8662.71
2,3,6.21377,7.14438,745.957,-0,-0,-0,2404.61,-2670.21,-8663.27
2,4,6.21377,7.0765,742.041,-0,-0,-0,2405.61,-2668.47,-8667.69
3,0,4.85628,6.32988,744.304,-0,-0,-0,2405.81,-2667.89,-8665.24
3,1,5.26353,7.14438,746.653,-0,-0,-0,2405.9,-2668.97,-8664.06
3,2,4.87891,6.62401,745,-0,-0,-0,2405.98,-2669.88,-8662.71
3,3,3.88342,6.51088,745.87,-0,-0,-0,2408.01,-2671.99,-8666.67
3,4,4.33591,6.03576,744.217,-0,-0,-0,2403.78,-2671.25,-8660.58
4,0,4.17754,5.53802,743.869,-0,-0,-0,2404.15,-2669.01,-8663.5
4,1,3.70242,5.06289,743.346,-0,-0,-0,2405.81,-2667.6,-8663.74
4,2,3.92867,4.83665,742.476,-0,-0,-0,2405.27,-2667.97,-8653.38
4,3,3.45354,4.1579,741.78,-0,-0,-0,2406.48,-2670.17,-8663.27
4,4,3.83817,3.56966,744.739,-0,-0,-0,2404.53,-2669.92,-8662.48
5,0,3.2273,3.72803,745.435,-0,-0,-0,2405.69,-2670.42,-8661.37
5,1,2.79742,3.68278,742.476,-0,-0,-0,2406.35,-2670.67,-8660.5
5,2,3.36304,2.98141,737.777,-0,-0,-0,2404.36,-2669.71,-8663.98
5,3,2.2318,1.98592,738.125,-0,-0,-0,2403.99,-2669.42,-8660.58
5,4,2.57118,0.92255,738.56,-0,-0,-0,2407.72,-2668.88,-8658.76
6,0,1.66618,1.87279,739.866,-0,-0,-0,2409.5,-2668.01,-8659.95
6,1,2.09605,1.17142,739.518,-0,-0,-0,2409.13,-2669.55,-8659.55
6,2,1.30419,0.198556,739.169,-0,-0,-0,2405.77,-2669.42,-8660.03
6,3,1.55306,0.492679,736.994,-0,-0,-0,2405.19,-2668.55,-8659.47
6,4,0.987438,-0.638563,735.254,-0,-0,-0,2403.53,-2667.6,-8666.11
7,0,0.919563,-0.208691,737.168,-0,-0,-0,2405.32,-2670.04,-8662.24
7,1,1.05531,-1.6793,737.081,-0,-0,-0,2405.65,-2669.59,-8661.68
7,2,1.14581,-1.27206,739.692,-0,-0,-0,2405.07,-2669.67,-8664.45
7,3,0.783814,-2.06393,738.299,-0,-0,-0,2405.48,-2670.38,-8662
7,4,0.444442,-2.15443,734.296,-0,-0,-0,2406.19,-2669.8,-8664.93
8,0,0.01457,-2.99154,737.168,-0,-0,-0,2406.27,-2667.97,-8657.5
8,1,0.0598197,-2.81055,733.252,-0,-0,-0,2406.93,-2669.75,-8667.77
8,2,-0.347427,-3.51192,735.689,-0,-0,-0,2407.35,-2669.51,-8662.4
8,3,-0.211678,-4.07754,736.994,-0,-0,-0,2402.95,-2669.88,-8666.67
8,4,0.105069,-3.53454,734.296,-0,-0,-0,2405.56,-2668.1,-8662.79
9,0,0.286068,-4.55266,734.122,-0,-0,-0,2405.48,-2669.67,-8663.11
9,1,0.150319,-5.16353,734.383,-0,-0,-0,2405.11,-2669.51,-8660.82
9,2,-0.754674,-5.52553,735.863,-0,-0,-0,2405.94,-2669.17,-8662.55
9,3,-1.09405,-6.02327,735.428,-0,-0,-0,2405.36,-2671.16,-8655.36
9,4,0.512316,-5.9554,734.645,-0,-0,-0,2406.39,-2670.17,-8660.74
10,0,-0.234303,-6.90564,733.339,-0,-0,-0,2406.39,-2670.29,-8662.79
10,1,0.105069,-7.29026,736.211,-0,-0,-0,2406.23,-2671.91,-8663.9
10,2,0.829064,-7.17714,736.994,-0,-0,-0,2406.56,-2668.92,-8659.47
10,3,0.783814,-7.83326,734.47,-0,-0,-0,2404.49,-2669.34,-8661.37
10,4,0.829064,-7.74276,736.559,-0,-0,-0,2405.56,-2669.3,-8663.27
11,0,0.71594,-8.53463,739.431,-0,-0,-0,2404.57,-2669.75,-8660.97
11,1,0.489691,-9.48487,735.95,-0,-0,-0,2405.85,-2669.46,-8668.17
11,2,0.489691,-9.62062,736.298,-0,-0,-0,2405.69,-2669.88,-8663.58
11,3,1.14581,-9.66587,738.473,-0,-0,-0,2406.31,-2670.62,-8665.8
11,4,0.851689,-9.73374,737.516,-0,-0,-0,2405.56,-2669.26,-8659.95
12,0,1.73406,-9.95999,740.823,-0,-0,-0,2405.11,-2668.76,-8661.37
12,1,1.73406,-9.93737,736.646,-0,-0,-0,2405.56,-2669.92,-8658.29
12,2,2.7748,-10.0505,739.344,-0,-0,-0,2406.68,-2671.12,-8653.23
12,3,2.39018,-9.86949,738.299,-0,-0,-0,2405.94,-2669.59,-8666.19
12,4,2.4128,-10.2315,741.258,-0,-0,-0,2405.15,-2669.17,-8663.35
13,0,2.63905,-10.8197,739.953,-0,-0,-0,2400.38,-2670.04,-8669.2
13,1,3.1368,-10.9329,741.258,-0,-0,-0,2403.74,-2670.38,-8665.08
13,2,3.52142,-10.9329,739.953,-0,-0,-0,2404.74,-2669.42,-8660.34
13,3,3.15942,-11.5211,740.388,-0,-0,-0,2405.69,-2668.8,-8660.97
13,4,3.81554,-10.5709,741.345,-0,-0,-0,2405.36,-2666.69,-8667.69
14,0,4.31329,-11.0912,738.821,-0,-0,-0,2403.78,-2670.29,-8668.56
14,1,5.24091,-11.4759,744.391,-0,-0,-0,2405.03,-2669.26,-8664.45
14,2,5.4219,-11.5437,742.824,-0,-0,-0,2405.9,-2669.09,-8661.05
14,3,5.64815,-12.5845,745.348,-0,-0,-0,2405.48,-2668.88,-8661.13
14,4,5.82915,-12.2903,744.739,-0,-0,-0,2403.28,-2669.75,-8664.37
15,0,5.85178,-11.9057,744.217,-0,-0,-0,2404.86,-2669.67,-8662.95
15,1,7.34501,-12.8786,744.13,-0,-0,-0,2406.73,-2669.88,-8661.76
15,2,7.29976,-12.3808,746.827,-0,-0,-0,2404.4,-2671.99,-8663.03
15,3,7.43551,-12.7881,751.352,-0,-0,-0,2405.19,-2669.71,-8663.03
15,4,8.09163,-13.3311,747.001,-0,-0,-0,2405.23,-2669.84,-8660.02
16,0,8.27263,-13.399,753.18,-0,-0,-0,2401.92,-2670.67,-8661.76
16,1,8.90613,-13.7836,747.088,-0,-0,-0,2406.89,-2670.91,-8662.16
16,2,9.01925,-13.8741,749.438,-0,-0,-0,2405.9,-2670.17,-8660.74
16,3,9.67537,-13.761,749.612,-0,-0,-0,2405.85,-2669.51,-8665.16
16,4,11.0102,-15.4126,752.048,-0,-0,-0,2406.6,-2671.21,-8659.87
17,0,10.6482,-14.9601,750.308,-0,-0,-0,2405.61,-2664.99,-8669.04
