Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-51.4279,-10.8541,807.268,-0,-0,-0,2405.56,-2668.34,-8665.48
1,1,-51.2242,-11.1935,806.224,-0,-0,-0,2404.03,-2665.65,-8669.99
1,2,-51.4279,-11.1935,805.876,-0,-0,-0,2405.77,-2665.48,-8666.9
1,3,-50.9754,-11.4424,804.049,-0,-0,-0,2405.48,-2669.51,-8661.05
1,4,-51.7672,-10.3564,802.917,-0,-0,-0,2404.53,-2671,-8660.89
2,0,-50.7944,-10.741,804.571,-0,-0,-0,2405.61,-2669.05,-8665.32
2,1,-51.0885,-11.284,803.091,-0,-0,-0,2405.52,-2668.63,-8660.26
2,2,-51.5636,-11.4197,799.437,-0,-0,-0,2405.65,-2667.93,-8658.52
2,3,-51.0659,-10.7863,801.612,-0,-0,-0,2404.03,-2668.97,-8662
2,4,-51.2469,-11.284,802.482,-0,-0,-0,2401.87,-2674.07,-8665.56
3,0,-50.8622,-11.465,800.394,-0,-0,-0,2405.48,-2672.66,-8659
3,1,-51.2921,-10.8994,800.829,-0,-0,-0,2405.77,-2669.17,-8661.37
3,2,-51.1337,-9.74551,800.307,-0,-0,-0,2407.39,-2668.72,-8660.66
3,3,-51.7446,-10.1301,800.133,-0,-0,-0,2407.1,-2668.47,-8658.21
3,4,-51.5636,-9.85863,796.826,-0,-0,-0,2405.23,-2669.59,-8660.18
4,0,-50.9754,-10.0396,796.217,-0,-0,-0,2405.4,-2670.13,-8661.05
4,1,-51.36,-10.198,796.652,-0,-0,-0,2404.03,-2672.24,-8667.85
4,2,-51.5636,-9.06676,796.826,-0,-0,-0,2404.24,-2669.63,-8662.79
4,3,-51.179,-10.4921,795.173,-0,-0,-0,2405.4,-2669.59,-8661.61
4,4,-51.5184,-10.3111,795.608,-0,-0,-0,2405.15,-2670.62,-8661.45
5,0,-51.179,-9.58713,793.084,-0,-0,-0,2404.82,-2671.41,-8668.64
5,1,-51.2921,-10.3564,793.519,-0,-0,-0,2406.48,-2669.09,-8664.85
5,2,-51.36,-8.90839,788.472,-0,-0,-0,2405.81,-2668.92,-8662.87
5,3,-50.6586,-10.198,788.124,-0,-0,-0,2406.39,-2671.16,-8653.23
5,4,-50.2966,-9.90388,791.779,-0,-0,-0,2406.6,-2670.13,-8659.95
