Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,-3.95061,10.7672,942.669,-0,-0,-0,2405.03,-2668.72,-8661.13
1,1,-3.56599,11.0613,944.062,-0,-0,-0,2408.76,-2669.05,-8661.45
1,2,-3.97324,11.3328,943.627,-0,-0,-0,2408.14,-2669.13,-8662.4
1,3,-4.33523,11.2423,942.147,-0,-0,-0,2406.23,-2669.3,-8659.79
1,4,-2.84199,10.9482,944.497,-0,-0,-0,2403.91,-2668.8,-8659.71
2,0,-4.33523,11.7853,945.802,-0,-0,-0,2405.48,-2669.13,-8662.55
2,1,-3.97324,11.2876,944.062,-0,-0,-0,2405.03,-2668.55,-8669.51
2,2,-4.49361,11.8079,945.019,-0,-0,-0,2403.37,-2670.38,-8664.45
2,3,-3.65649,11.8758,943.714,-0,-0,-0,2405.36,-2670.25,-8662.63
2,4,-3.88274,12.0568,941.973,-0,-0,-0,2405.32,-2669.51,-8664.29
3,0,-3.92799,11.8306,945.976,-0,-0,-0,2405.85,-2670.33,-8664.85
3,1,-3.83749,12.7129,943.192,-0,-0,-0,2405.52,-2668.68,-8662.95
3,2,-3.49811,12.4414,943.714,-0,-0,-0,2406.19,-2669.88,-8660.5
3,3,-4.10898,13.0071,941.016,-0,-0,-0,2405.03,-2668.88,-8664.29
3,4,-3.79224,12.3057,941.364,-0,-0,-0,2404.4,-2667.6,-8662.48
4,0,-3.61124,12.5998,943.54,-0,-0,-0,2402.58,-2670.83,-8661.05
4,1,-3.18137,12.5998,942.495,-0,-0,-0,2405.69,-2669.34,-8661.92
4,2,-3.65649,13.5953,942.321,-0,-0,-0,2406.44,-2668.68,-8662.87
4,3,-3.70174,12.9844,944.062,-0,-0,-0,2406.81,-2669.55,-8662.79
4,4,-3.61124,12.6677,943.801,-0,-0,-0,2406.31,-2668.76,-8663.9
5,0,-2.88724,12.6903,942.844,-0,-0,-0,2404.03,-2669.67,-8661.76
5,1,-3.24924,13.2786,940.668,-0,-0,-0,2406.81,-2667.47,-8664.21
5,2,-3.29449,13.5048,940.233,-0,-0,-0,2407.68,-2667.47,-8662.71
5,3,-3.61124,11.9437,941.886,-0,-0,-0,2405.81,-2669.67,-8661.76
5,4,-2.661,13.1881,941.103,-0,-0,-0,2406.19,-2669.71,-8663.19
6,0,-3.74699,13.1428,944.41,-0,-0,-0,2406.06,-2668.68,-8668.25
6,1,-3.65649,12.7582,944.497,-0,-0,-0,2405.98,-2670.13,-8663.66
6,2,-2.79674,12.8713,941.973,-0,-0,-0,2406.15,-2670.09,-8662.63
6,3,-3.18137,12.6451,943.714,-0,-0,-0,2403.33,-2668.84,-8668.88
6,4,-3.15874,12.2604,944.845,-0,-0,-0,2407.43,-2670.21,-8666.98
7,0,-3.11349,12.2152,942.669,-0,-0,-0,2405.15,-2668.97,-8662.24
7,1,-2.3895,13.0523,942.669,-0,-0,-0,2405.44,-2668.72,-8662.08
7,2,-2.50262,13.1654,941.538,-0,-0,-0,2405.85,-2670.04,-8662.79
7,3,-2.68362,13.3012,944.497,-0,-0,-0,2404.98,-2670.04,-8662.55
7,4,-2.34425,12.7808,942.234,-0,-0,-0,2404.86,-2669.59,-8661.37
8,0,-2.27637,12.4867,942.234,-0,-0,-0,2405.4,-2669.96,-8661.05
8,1,-2.0275,13.5048,942.669,-0,-0,-0,2405.85,-2667.47,-8664.53
8,2,-1.71075,12.1699,945.715,-0,-0,-0,2407.14,-2669.46,-8662.08
