Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,34.0205,-0.505483,603.447,-0,-0,-0,2406.44,-2669.01,-8662.79
1,1,33.8395,-1.74985,603.012,-0,-0,-0,2405.32,-2668.92,-8663.03
1,2,33.5228,-2.31547,603.36,-0,-0,-0,2405.23,-2667.35,-8660.89
1,3,34.3825,-3.19784,605.188,-0,-0,-0,2405.44,-2667.51,-8660.89
1,4,34.0431,-4.48745,606.058,-0,-0,-0,2405.52,-2669.17,-8665.96
2,0,34.6766,-4.75895,605.275,-0,-0,-0,2405.61,-2667.47,-8663.03
2,1,34.4277,-6.34269,610.061,-0,-0,-0,2405.48,-2669.59,-8662.4
2,2,34.7897,-6.45581,610.931,-0,-0,-0,2405.61,-2669.34,-8661.76
2,3,34.7897,-7.36081,608.929,-0,-0,-0,2404.69,-2668.63,-8664.21
2,4,35.4459,-8.33367,612.758,-0,-0,-0,2404.98,-2669.55,-8655.6
3,0,33.7038,-8.4468,610.409,-0,-0,-0,2404.57,-2670.46,-8662.95
3,1,34.292,-8.7183,611.627,-0,-0,-0,2404.78,-2669.17,-8665.24
3,2,33.5906,-9.01242,611.801,-0,-0,-0,2406.48,-2671.21,-8663.82
3,3,33.5454,-9.41967,609.8,-0,-0,-0,2407.8,-2668.1,-8662.79
3,4,32.6404,-10.3925,611.714,-0,-0,-0,2407.14,-2668.14,-8659.71
4,0,32.9571,-10.845,612.41,-0,-0,-0,2406.68,-2666.56,-8663.11
4,1,32.844,-10.5962,613.28,-0,-0,-0,2404.15,-2667.56,-8663.9
4,2,31.7806,-10.8224,609.103,-0,-0,-0,2405.23,-2669.22,-8662.4
4,3,31.9843,-10.845,611.018,-0,-0,-0,2405.03,-2671.29,-8660.97
4,4,31.1471,-9.89479,611.54,-0,-0,-0,2404.36,-2671.21,-8658.68
5,0,30.6042,-11.1392,611.888,-0,-0,-0,2405.11,-2667.31,-8660.58
5,1,30.5137,-10.5962,610.583,-0,-0,-0,2407.22,-2668.51,-8660.89
5,2,29.6992,-11.1392,607.798,-0,-0,-0,2406.89,-2668.88,-8659.55
5,3,28.138,-11.0713,608.494,-0,-0,-0,2405.77,-2667.97,-8664.77
5,4,28.2059,-10.9129,607.276,-0,-0,-0,2406.73,-2668.59,-8654.73
6,0,28.0702,-11.1165,607.102,-0,-0,-0,2404.15,-2669.8,-8657.65
6,1,27.5272,-12.0215,606.667,-0,-0,-0,2405.69,-2669.71,-8662.24
6,2,27.1878,-11.4785,605.623,-0,-0,-0,2406.06,-2671.21,-8661.13
6,3,26.7127,-11.8405,604.665,-0,-0,-0,2405.52,-2670.17,-8664.29
6,4,26.3507,-11.8631,607.189,-0,-0,-0,2407.97,-2669.92,-8665.16
7,0,25.1289,-11.8858,603.36,-0,-0,-0,2408.55,-2671.74,-8655.52
7,1,24.6538,-11.6821,606.058,-0,-0,-0,2407.47,-2669.84,-8653.07
7,2,23.7715,-12.0441,603.708,-0,-0,-0,2404.82,-2669.51,-8661.68
7,3,23.3642,-12.5645,604.23,-0,-0,-0,2403.53,-2669.51,-8660.97
7,4,22.5497,-12.2704,603.186,-0,-0,-0,2404.07,-2668.26,-8665.4
8,0,22.3913,-12.293,601.098,-0,-0,-0,2406.15,-2669.67,-8663.74
8,1,21.5995,-12.1799,604.753,-0,-0,-0,2405.77,-2669.92,-8661.84
8,2,20.7171,-12.2704,600.663,-0,-0,-0,2407.18,-2670.29,-8660.58
8,3,20.1289,-11.1844,597.704,-0,-0,-0,2407.51,-2667.97,-8653.86
8,4,18.7714,-11.5238,597.878,-0,-0,-0,2404.86,-2668.84,-8658.44
9,0,18.9524,-11.1618,595.616,-0,-0,-0,2407.47,-2669.42,-8661.13
9,1,17.889,-11.4559,596.834,-0,-0,-0,2405.98,-2668.8,-8667.46
9,2,16.5089,-10.8903,599.531,-0,-0,-0,2405.85,-2670.04,-8668.41
9,3,16.1469,-10.5962,596.486,-0,-0,-0,2404.78,-2668.92,-8667.93
9,4,15.8528,-9.62329,597.617,-0,-0,-0,2403.12,-2669.51,-8660.5
10,0,15.1288,-10.2115,596.051,-0,-0,-0,2403.49,-2667.02,-8653.78
10,1,14.3821,-9.32917,595.354,-0,-0,-0,2405.85,-2669.22,-8660.1
10,2,14.1785,-8.67305,594.832,-0,-0,-0,2404.44,-2669.63,-8661.13
10,3,13.4545,-9.44229,596.312,-0,-0,-0,2405.19,-2668.88,-8661.76
10,4,12.8437,-9.08029,595.529,-0,-0,-0,2406.68,-2670.04,-8664.69
11,0,12.4138,-9.14817,595.006,-0,-0,-0,2405.11,-2669.55,-8666.35
11,1,12.0065,-8.80879,593.266,-0,-0,-0,2405.27,-2669.38,-8665.24
11,2,10.8753,-7.88118,594.484,-0,-0,-0,2401.83,-2669.92,-8667.69
11,3,10.9432,-8.03955,593.44,-0,-0,-0,2404.94,-2670.33,-8666.11
11,4,11.2599,-7.67755,593.527,-0,-0,-0,2406.1,-2669.88,-8662.4
12,0,9.47256,-7.79068,593.092,-0,-0,-0,2405.81,-2669.96,-8664.29
12,1,9.15582,-7.6323,593.701,-0,-0,-0,2404.61,-2671.83,-8660.5
12,2,8.45445,-7.60968,594.571,-0,-0,-0,2406.85,-2666.06,-8666.59
12,3,8.3187,-6.59156,591.787,-0,-0,-0,2405.56,-2669.01,-8659.23
12,4,8.4997,-7.22506,595.354,-0,-0,-0,2405.56,-2668.84,-8663.66
13,0,6.89333,-6.38794,591.439,-0,-0,-0,2405.9,-2668.05,-8671.8
13,1,6.82546,-6.97618,593.701,-0,-0,-0,2405.94,-2668.88,-8660.97
13,2,6.25984,-7.06668,592.222,-0,-0,-0,2404.86,-2670.54,-8660.42
13,3,5.73947,-6.61419,595.79,-0,-0,-0,2402.54,-2670.17,-8662.4
13,4,5.71684,-5.64132,594.658,-0,-0,-0,2405.65,-2670.96,-8651.88
14,0,4.92497,-5.79969,596.921,-0,-0,-0,2405.4,-2669.46,-8659.87
14,1,4.83447,-5.03045,593.527,-0,-0,-0,2404.94,-2669.13,-8662.55
14,2,4.63085,-5.36982,592.831,-0,-0,-0,2405.44,-2671.87,-8658.92
14,3,3.74848,-5.41507,593.701,-0,-0,-0,2403.2,-2671.25,-8669.51
14,4,4.26885,-5.0757,594.31,-0,-0,-0,2405.65,-2669.13,-8664.69
15,0,3.29599,-3.35621,592.744,-0,-0,-0,2405.81,-2668.18,-8662
15,1,2.18737,-3.83133,595.093,-0,-0,-0,2404.69,-2668.01,-8659.87
15,2,2.63987,-3.44671,592.918,-0,-0,-0,2405.56,-2669.51,-8657.81
15,3,2.07424,-3.06209,593.179,-0,-0,-0,2405.4,-2668.39,-8660.82
15,4,1.486,-2.92634,593.527,-0,-0,-0,2402.7,-2669.92,-8665.56
16,0,2.029,-3.03946,592.657,-0,-0,-0,2403.82,-2670.67,-8673.39
16,1,1.486,-2.08922,592.918,-0,-0,-0,2405.56,-2669.96,-8662.87
16,2,0.73938,-2.63222,593.875,-0,-0,-0,2406.48,-2669.63,-8659.87
16,3,1.44075,-2.22497,592.222,-0,-0,-0,2404.65,-2668.88,-8667.69
16,4,0.626256,-2.17972,593.614,-0,-0,-0,2405.48,-2667.43,-8660.18
17,0,0.671506,-2.13447,592.918,-0,-0,-0,2405.77,-2668.01,-8661.69
17,1,0.490507,-1.09373,594.832,-0,-0,-0,2406.39,-2666.98,-8659.71
17,2,-0.437111,-2.51909,591.526,-0,-0,-0,2404.32,-2667.06,-8656.63
17,3,-0.256112,-1.59147,591.439,-0,-0,-0,2405.19,-2669.22,-8659.55
17,4,-0.323987,-1.09373,592.483,-0,-0,-0,2404.9,-2670.71,-8660.03
18,0,-0.550235,-1.56885,592.744,-0,-0,-0,2404.86,-2670.38,-8661.92
18,1,-0.776483,-1.72722,591.7,-0,-0,-0,2405.9,-2671.08,-8663.5
18,2,-0.550235,-1.81772,591.787,-0,-0,-0,2405.65,-2670.09,-8662
