Devices
1000
,,7378 - Force (Reaction),,,7377 - Force (Reaction),,,Kistler Force Plate (External Amplifier) - Force,,,
Frame,Sub Frame,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
,,N,N,N,N,N,N,N,N,N
1,0,12.1693,14.5861,763.278,-0,-0,-0,2407.06,-2670.21,-8660.58
1,1,12.6671,13.387,762.06,-0,-0,-0,2404.36,-2672.28,-8660.5
1,2,11.9431,14.9028,760.32,-0,-0,-0,2405.65,-2669.8,-8654.1
1,3,12.0562,14.2241,763.104,-0,-0,-0,2405.73,-2669.59,-8662.87
1,4,12.1693,13.387,762.408,-0,-0,-0,2404.61,-2670.04,-8663.82
2,0,12.0109,14.2693,761.973,-0,-0,-0,2404.65,-2669.17,-8663.03
2,1,12.6444,13.568,760.668,-0,-0,-0,2408.63,-2667.18,-8661.53
2,2,12.2372,13.749,761.451,-0,-0,-0,2406.48,-2669.67,-8662.08
2,3,12.0788,13.8621,762.843,-0,-0,-0,2406.6,-2669.92,-8660.5
2,4,12.4634,14.5635,763.017,-0,-0,-0,2405.9,-2671.41,-8659.63
3,0,12.1467,13.4096,758.753,-0,-0,-0,2404.53,-2671.5,-8660.42
3,1,12.3956,14.0657,761.277,-0,-0,-0,2405.9,-2670.09,-8662.95
3,2,12.6444,14.1788,763.365,-0,-0,-0,2407.47,-2671.54,-8663.82
3,3,12.6671,14.5635,760.755,-0,-0,-0,2405.27,-2669.51,-8656.63
3,4,11.9883,14.1336,763.191,-0,-0,-0,2405.73,-2669.05,-8661.53
4,0,12.7349,14.5408,761.973,-0,-0,-0,2404.9,-2669.22,-8662
4,1,12.7349,14.4956,760.668,-0,-0,-0,2403.99,-2669.05,-8660.58
4,2,13.1648,13.5906,762.756,-0,-0,-0,2404.98,-2669.67,-8664.53
4,3,13.2327,14.292,760.233,-0,-0,-0,2405.52,-2671.33,-8663.9
4,4,11.8073,15.4006,761.973,-0,-0,-0,2405.48,-2668.59,-8663.9
5,0,12.6897,14.3372,759.971,-0,-0,-0,2408.22,-2665.73,-8664.53
5,1,13.0517,14.6992,759.971,-0,-0,-0,2406.77,-2670.25,-8662
5,2,12.3729,14.6766,759.362,-0,-0,-0,2405.73,-2669.38,-8663.03
5,3,11.8526,14.9933,762.408,-0,-0,-0,2405.15,-2669.8,-8661.53
5,4,12.4861,14.5635,760.929,-0,-0,-0,2403.86,-2670.38,-8660.74
6,0,13.391,15.74,760.842,-0,-0,-0,2405.9,-2669.09,-8659.71
6,1,13.2327,14.7671,758.753,-0,-0,-0,2406.06,-2669.17,-8659.23
6,2,13.029,14.4503,759.797,-0,-0,-0,2405.61,-2664.94,-8667.14
6,3,12.7123,14.9255,760.059,-0,-0,-0,2403.08,-2669.8,-8670.3
6,4,12.7802,15.4911,761.103,-0,-0,-0,2404.94,-2669.88,-8665.56
7,0,13.4363,14.7671,762.321,-0,-0,-0,2405.56,-2670.04,-8662.55
7,1,12.9838,15.016,760.233,-0,-0,-0,2405.98,-2668.8,-8660.97
7,2,12.9386,14.8123,764.061,-0,-0,-0,2406.23,-2670.09,-8662.48
7,3,12.7123,15.1743,759.536,-0,-0,-0,2405.27,-2669.71,-8663.03
7,4,13.0064,15.2875,761.451,-0,-0,-0,2404.24,-2669.42,-8664.06
8,0,12.7349,15.4911,763.278,-0,-0,-0,2408.01,-2667.27,-8660.34
8,1,13.2327,15.016,761.016,-0,-0,-0,2405.94,-2668.68,-8657.81
8,2,13.3005,14.8802,757.883,-0,-0,-0,2405.61,-2668.05,-8662.79
8,3,13.9567,15.5816,762.06,-0,-0,-0,2404.07,-2668.22,-8665.4
8,4,13.2327,16.2151,760.233,-0,-0,-0,2404.53,-2670.96,-8662.79
9,0,13.3458,14.7671,761.538,-0,-0,-0,2403.78,-2669.34,-8663.35
9,1,13.5494,15.4911,763.713,-0,-0,-0,2403.74,-2668.88,-8663.27
9,2,13.6852,16.0341,758.84,-0,-0,-0,2406.02,-2667.72,-8666.27
9,3,13.7757,16.4413,759.362,-0,-0,-0,2405.98,-2670.83,-8659.55
9,4,13.5268,14.9707,761.886,-0,-0,-0,2405.52,-2669.46,-8662.16
10,0,13.7078,16.0793,761.625,-0,-0,-0,2405.27,-2671.62,-8661.29
10,1,13.7757,16.4413,763.017,-0,-0,-0,2404.53,-2672.95,-8659
10,2,13.572,15.4911,759.623,-0,-0,-0,2402.08,-2670.33,-8664.85
10,3,13.391,16.1472,760.233,-0,-0,-0,2404.98,-2668.05,-8661.76
10,4,13.2327,15.8078,761.19,-0,-0,-0,2406.81,-2667.64,-8660.26
11,0,13.1874,15.8757,763.104,-0,-0,-0,2408.14,-2668.68,-8662.95
11,1,13.3232,15.0838,760.755,-0,-0,-0,2405.52,-2669.88,-8659.47
11,2,13.3458,16.5545,761.103,-0,-0,-0,2404.07,-2670.42,-8663.82
11,3,13.4815,16.1925,759.797,-0,-0,-0,2405.73,-2669.01,-8660.97
11,4,13.9793,16.3056,759.014,-0,-0,-0,2404.03,-2669.96,-8665.56
12,0,13.9793,16.3282,763.8,-0,-0,-0,2403.86,-2667.56,-8663.03
12,1,13.9114,16.102,762.234,-0,-0,-0,2405.23,-2668.51,-8659.79
12,2,14.3187,15.559,761.712,-0,-0,-0,2406.15,-2669.01,-8660.42
12,3,14.2508,15.8757,760.494,-0,-0,-0,2405.69,-2669.3,-8661.92
12,4,14.4544,16.102,760.755,-0,-0,-0,2406.39,-2669.05,-8663.27
13,0,13.1422,15.7626,762.321,-0,-0,-0,2404.4,-2670.04,-8662.32
13,1,13.4137,16.3056,762.147,-0,-0,-0,2406.39,-2668.68,-8652.99
13,2,13.7983,16.1246,758.405,-0,-0,-0,2405.15,-2667.1,-8665.95
13,3,14.2734,15.74,761.103,-0,-0,-0,2405.32,-2669.8,-8664.77
13,4,14.0019,15.74,759.362,-0,-0,-0,2405.36,-2668.68,-8662.24
14,0,13.8209,15.5363,760.233,-0,-0,-0,2405.77,-2669.34,-8664.06
14,1,13.8209,15.921,760.146,-0,-0,-0,2405.85,-2670.13,-8661.13
14,2,13.029,15.5363,761.625,-0,-0,-0,2405.98,-2669.84,-8664.69
14,3,13.4815,16.0341,761.451,-0,-0,-0,2407.47,-2667.89,-8670.86
14,4,13.4363,15.0838,763.974,-0,-0,-0,2408.3,-2670.13,-8662
15,0,13.7757,15.0838,760.581,-0,-0,-0,2406.77,-2669.63,-8662.48
15,1,14.1377,15.197,758.492,-0,-0,-0,2405.9,-2669.17,-8663.11
15,2,13.8209,15.6495,763.626,-0,-0,-0,2403.86,-2670.75,-8662.95
15,3,13.6399,14.9933,762.234,-0,-0,-0,2406.1,-2671.54,-8662.4
15,4,13.4815,15.4685,760.233,-0,-0,-0,2405.23,-2669.88,-8663.03
16,0,13.029,14.9481,761.19,-0,-0,-0,2404.49,-2669.26,-8661.84
16,1,14.0698,15.4232,762.06,-0,-0,-0,2404.61,-2670.83,-8659.39
16,2,13.1648,15.2196,760.233,-0,-0,-0,2406.27,-2669.63,-8655.36
16,3,13.9793,15.1743,758.231,-0,-0,-0,2405.81,-2669.34,-8665.01
16,4,13.9567,15.2196,760.059,-0,-0,-0,2403.66,-2669.63,-8660.42
17,0,13.7304,14.8802,761.799,-0,-0,-0,2406.23,-2668.39,-8658.52
17,1,14.1377,14.6087,761.538,-0,-0,-0,2404.82,-2668.68,-8662.16
17,2,14.0245,14.6313,759.797,-0,-0,-0,2404.61,-2668.72,-8661.05
17,3,13.9114,14.9028,760.059,-0,-0,-0,2406.44,-2668.55,-8662
17,4,13.934,15.3553,758.927,-0,-0,-0,2406.02,-2669.38,-8663.74
18,0,14.4997,14.2467,761.364,-0,-0,-0,2405.73,-2669.01,-8663.82
18,1,14.2734,14.654,761.625,-0,-0,-0,2406.35,-2669.71,-8663.5
18,2,15.4273,13.5001,759.449,-0,-0,-0,2405.48,-2667.43,-8665.72
18,3,14.7938,13.9526,757.274,-0,-0,-0,2404.74,-2668.8,-8668.8
18,4,14.4318,14.7445,760.842,-0,-0,-0,2405.4,-2670,-8662
19,0,14.8164,13.8168,761.451,-0,-0,-0,2405.56,-2669.42,-8661.92
19,1,14.2282,13.8621,760.929,-0,-0,-0,2404.11,-2671.16,-8663.03
19,2,14.9069,14.6313,759.971,-0,-0,-0,2406.39,-2670.17,-8658.84
19,3,14.3187,13.7263,758.579,-0,-0,-0,2405.44,-2669.21,-8661.53
19,4,14.6128,13.749,761.19,-0,-0,-0,2406.73,-2668.92,-8663.11
20,0,15.8572,12.8892,758.84,-0,-0,-0,2405.85,-2667.72,-8669.43
20,1,15.4952,13.6585,760.32,-0,-0,-0,2405.07,-2669.01,-8661.53
20,2,15.02,12.9345,759.536,-0,-0,-0,2405.77,-2669.21,-8660.5
20,3,15.2689,12.9345,759.971,-0,-0,-0,2407.06,-2665.65,-8670.46
20,4,15.1105,13.1155,763.365,-0,-0,-0,2406.27,-2669.21,-8662.79
21,0,14.0245,12.3462,763.887,-0,-0,-0,2406.35,-2669.21,-8664.21
21,1,15.3594,12.7761,763.887,-0,-0,-0,2404.78,-2669.63,-8662.79
21,2,15.2237,13.2286,759.71,-0,-0,-0,2404.65,-2669.26,-8665.64
21,3,15.563,12.1879,761.451,-0,-0,-0,2405.4,-2669.34,-8664.14
21,4,15.5857,12.4141,763.278,-0,-0,-0,2406.06,-2669.92,-8662.08
22,0,15.7893,12.9571,761.799,-0,-0,-0,2407.18,-2669.67,-8660.42
22,1,14.8617,13.3191,759.536,-0,-0,-0,2404.78,-2668.47,-8668.17
22,2,15.382,13.0929,759.71,-0,-0,-0,2405.77,-2669.22,-8663.74
22,3,16.2192,13.6358,761.538,-0,-0,-0,2406.23,-2669.09,-8660.89
22,4,15.2915,12.7987,761.799,-0,-0,-0,2402.37,-2669.75,-8661.13
23,0,15.4725,12.6177,762.321,-0,-0,-0,2404.61,-2670.5,-8662.08
23,1,16.3323,12.4141,760.929,-0,-0,-0,2405.52,-2669.17,-8666.11
23,2,15.9477,12.8214,763.713,-0,-0,-0,2405.73,-2669.42,-8665.08
23,3,16.5359,12.5725,765.715,-0,-0,-0,2403.53,-2671.16,-8665.32
23,4,15.9477,12.5951,763.365,-0,-0,-0,2404.32,-2667.43,-8663.82
24,0,16.0834,13.0476,765.889,-0,-0,-0,2405.19,-2670.13,-8662.4
24,1,16.9205,12.7082,765.628,-0,-0,-0,2405.61,-2669.63,-8660.82
